lambda,eps,iters,sparsity,test_acc
0.001,0.1,30,0.02702702702702703,0.7581920903954802
0.001,0.01,310,0.02702702702702703,0.7672316384180791
0.001,0.001,970,0.02702702702702703,0.7627118644067796
0.001,0.0001,2180,0.02702702702702703,0.7661016949152543
0.001,1e-05,3910,0.02702702702702703,0.7649717514124293
0.01,0.1,30,0.02702702702702703,0.7581920903954802
0.01,0.01,310,0.02702702702702703,0.7672316384180791
0.01,0.001,970,0.02702702702702703,0.7627118644067796
0.01,0.0001,2250,0.02702702702702703,0.7661016949152543
0.01,1e-05,38930,0.10810810810810811,0.7649717514124293
0.1,0.1,30,0.02702702702702703,0.7581920903954802
0.1,0.01,310,0.036036036036036036,0.7672316384180791
0.1,0.001,1000,0.036036036036036036,0.7638418079096045
0.1,0.0001,4760,0.13513513513513514,0.7661016949152543
0.1,1e-05,139350,0.34234234234234234,0.7649717514124293
1.0,0.1,30,0.04504504504504504,0.7581920903954802
1.0,0.01,300,0.09009009009009009,0.7638418079096045
1.0,0.001,1330,0.21621621621621623,0.7638418079096045
1.0,0.0001,13250,0.36036036036036034,0.7627118644067796
1.0,1e-05,19260,0.36036036036036034,0.7627118644067796
