domain,optimizer,filter,t_conv_med,conv_frac,holdout_mse_med
financial_15m,adam,F0,4000.0,0.4375,0.5222602388131028
financial_15m,adam,F1,83.5,1.0,0.5519074448705042
financial_15m,adam,F2,51.5,1.0,0.5278171717545261
financial_15m,adam,F4,88.5,1.0,0.5590227092182163
financial_15m,sgd,F0,95.5,1.0,0.5216994737157603
financial_15m,sgd,F1,562.5,1.0,0.5507770703435577
financial_15m,sgd,F2,1455.5,1.0,0.5285130585145512
financial_15m,sgd,F4,820.0,1.0,0.5608955030374905
financial_daily,adam,F0,554.0,0.8125,0.6255697880069566
financial_daily,adam,F1,84.5,1.0,0.6610517790868768
financial_daily,adam,F2,56.5,1.0,0.6339904425526258
financial_daily,adam,F4,143.5,1.0,0.6340724390953931
financial_daily,sgd,F0,110.0,1.0,0.6257630185534621
financial_daily,sgd,F1,640.0,1.0,0.6593396482176961
financial_daily,sgd,F2,1561.5,1.0,0.6334801940887502
financial_daily,sgd,F4,2246.5,0.96875,0.6349508797209509
macro_fred,adam,F0,20.0,1.0,0.007697386815824773
macro_fred,adam,F1,20.0,1.0,0.034149834728478365
macro_fred,adam,F2,20.0,1.0,0.11317644193148028
macro_fred,adam,F4,20.0,1.0,0.027573109109983944
macro_fred,sgd,F0,29.0,1.0,0.008160441549172837
macro_fred,sgd,F1,28.5,1.0,0.04473715792320054
macro_fred,sgd,F2,28.0,1.0,0.1283822815655988
macro_fred,sgd,F4,28.5,1.0,0.0322360643605112
nonfinancial_ett,adam,F0,43.0,1.0,0.48773171325959974
nonfinancial_ett,adam,F1,20.0,1.0,0.6528822476774983
nonfinancial_ett,adam,F2,21.0,1.0,0.7104526898019264
nonfinancial_ett,adam,F4,47.5,1.0,0.6853101351453112
nonfinancial_ett,sgd,F0,89.5,1.0,0.49138953035747596
nonfinancial_ett,sgd,F1,66.5,1.0,0.7092594755274253
nonfinancial_ett,sgd,F2,81.0,1.0,0.7155098183382876
nonfinancial_ett,sgd,F4,236.0,1.0,0.6911886729717003
