batch,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
4,F0,sgd,0,0.040340400527331274,0.775
4,F0,sgd,1,0.03811382317438932,0.789
4,F0,sgd,2,0.1322227285978763,0.657
4,F0,sgd,3,0.040003928009946996,0.791
4,F0,adam,0,0.04268645370358931,0.76
4,F0,adam,1,0.03470029526210628,0.785
4,F0,adam,2,0.06108693071810023,0.747
4,F0,adam,3,0.03250504521958865,0.782
4,F4,sgd,0,0.019905705560270673,0.802
4,F4,sgd,1,0.026621153671364847,0.782
4,F4,sgd,2,0.028040141332008366,0.789
4,F4,sgd,3,0.028962926118575094,0.786
4,F4,adam,0,0.032041766205318574,0.79
4,F4,adam,1,0.03550879691695989,0.762
4,F4,adam,2,0.034126355779538785,0.779
4,F4,adam,3,0.039537484284242384,0.78
4,F7,sgd,0,0.017068239524230644,0.807
4,F7,sgd,1,0.022410950211369414,0.794
4,F7,sgd,2,0.028230568939504385,0.794
4,F7,sgd,3,0.023652663671188116,0.795
4,F7,adam,0,0.024702264699103877,0.805
4,F7,adam,1,0.028215678569193072,0.779
4,F7,adam,2,0.031721912466063,0.795
4,F7,adam,3,0.030879174892549262,0.792
4,F8,sgd,0,0.01667133035157452,0.812
4,F8,sgd,1,0.022267459655006868,0.795
4,F8,sgd,2,0.02754437854351669,0.796
4,F8,sgd,3,0.02407373009237963,0.799
4,F8,adam,0,0.029022558186285657,0.795
4,F8,adam,1,0.02836128708162158,0.778
4,F8,adam,2,0.0328903796673121,0.794
4,F8,adam,3,0.03112696407565434,0.793
8,F0,sgd,0,0.13426590104196356,0.659
8,F0,sgd,1,0.01992120475162715,0.818
8,F0,sgd,2,0.039534016141583285,0.793
8,F0,sgd,3,0.05173489597220847,0.775
8,F0,adam,0,0.05871898489692133,0.737
8,F0,adam,1,0.020293535951698628,0.815
8,F0,adam,2,0.039044709639342944,0.784
8,F0,adam,3,0.030124816424662304,0.793
8,F4,sgd,0,0.026116182044842017,0.78
8,F4,sgd,1,0.014715697271507743,0.833
8,F4,sgd,2,0.027720597328718722,0.812
8,F4,sgd,3,0.018120210805867946,0.822
8,F4,adam,0,0.032657062222178485,0.781
8,F4,adam,1,0.01804073972014469,0.825
8,F4,adam,2,0.034037194309264385,0.797
