model,noise,alpha,d,filter,seed,conv100,slope,floor_p50,auc
quadratic,N3cal,1.215,0.291,F0,0,0,-4.518681704565003,0.2417843375747531,-0.05543540977307215
quadratic,N3cal,1.215,0.291,F0,1,0,-11.44002925722425,0.4093048671780779,-0.16205797389483256
quadratic,N3cal,1.215,0.291,F0,2,0,2.6809556914051913,0.25308740282225006,-0.4713327508270747
quadratic,N3cal,1.215,0.291,F0,3,0,1.9331213911806961,0.5821446369180815,-0.40912076009563203
quadratic,N3cal,1.215,0.291,F0,4,0,-4.02630431053212,0.3356885535621665,-0.2476200967442683
quadratic,N3cal,1.215,0.291,F0,5,0,-4.093043303638173,0.4968163662942854,-0.45981973586212194
quadratic,N3cal,1.215,0.291,F0,6,0,-3.187831573229192,0.6435956309213486,-0.38620915457196797
quadratic,N3cal,1.215,0.291,F0,7,0,0.7284395228822201,0.9797513218382259,-0.19792920640852926
quadratic,N3cal,1.215,0.291,F4,0,1,-0.9078381606784981,0.004491264700200409,-2.2473427420903245
quadratic,N3cal,1.215,0.291,F4,1,1,0.20674456545779532,0.004962626818425074,-2.2572368662572253
quadratic,N3cal,1.215,0.291,F4,2,1,-0.000804380641613066,0.004337184509731077,-2.2712306140983594
quadratic,N3cal,1.215,0.291,F4,3,1,0.7821690397144238,0.005329645770188919,-2.2226596908932907
quadratic,N3cal,1.215,0.291,F4,4,1,0.5891885052417936,0.004391102392760825,-2.2893735859027813
quadratic,N3cal,1.215,0.291,F4,5,1,0.6245158689939385,0.005469623187111583,-2.213467670050445
quadratic,N3cal,1.215,0.291,F4,6,1,0.15544387882837088,0.005592172906202557,-2.274373904457078
quadratic,N3cal,1.215,0.291,F4,7,1,0.5178704911731782,0.004968166496624992,-2.2418753185727742
quadratic,N4cal,1.215,0.291,F0,0,0,-6.554813397317096,27.733811070685647,1.5420518643182421
quadratic,N4cal,1.215,0.291,F0,1,0,3.802572616990843,15.357064626797262,1.3641043061317952
quadratic,N4cal,1.215,0.291,F0,2,0,10.587977075976704,83.26994400053975,1.1008051642427326
quadratic,N4cal,1.215,0.291,F0,3,0,-11.469559193868168,40.09620018941288,1.4020762466063097
quadratic,N4cal,1.215,0.291,F0,4,0,-4.750589011290364,219.24297713060452,1.7898862787743999
quadratic,N4cal,1.215,0.291,F0,5,0,5.010778153619815,45.512405100352936,1.3396979177738795
quadratic,N4cal,1.215,0.291,F0,6,0,-1.3414902268408369,27.814861141541414,1.0667747460676147
quadratic,N4cal,1.215,0.291,F0,7,0,-0.6674506199700927,25.260554382174085,1.3114331390211615
quadratic,N4cal,1.215,0.291,F4,0,0,-5.763357483919604,23.796160013793017,1.4301023402958104
quadratic,N4cal,1.215,0.291,F4,1,0,3.639547541753264,12.644215748234807,1.2557261774986934
