model,optimizer,filter,conv_frac,t_drop100_med,floor_p50_med,auc_mean,floor_ratio_vs_F0
logistic,adam,F0,0.0,4000.0,0.24864932517562516,-0.5812385201995545,1.0
logistic,adam,F1,0.0,4000.0,0.25703065696406535,-0.5762298978739744,0.9673917038246066
logistic,adam,F10,0.0,4000.0,0.26526732010450205,-0.572667846456586,0.9373537798688122
logistic,adam,F11,0.0,4000.0,0.2541178721026073,-0.5785645853953126,0.9784802742060816
logistic,adam,F2,0.0,4000.0,0.26469211922300667,-0.572361381564036,0.939390737833546
logistic,adam,F3,0.0,4000.0,0.2486411924918206,-0.5815306256905926,1.0000327085135132
logistic,adam,F4,0.0,4000.0,0.2565653705220906,-0.5774023816527801,0.969146088069653
logistic,sgd,F0,0.0,4000.0,0.2999507284136905,-0.528042842160768,1.0
logistic,sgd,F1,0.0,4000.0,0.299696387537123,-0.52870070626364,1.000848661802892
logistic,sgd,F10,0.0,4000.0,0.2977355426922088,-0.5312899474064127,1.0074401117899845
logistic,sgd,F11,0.0,4000.0,0.298953036423245,-0.5294071393598397,1.0033372866935295
logistic,sgd,F2,0.0,4000.0,0.2989991013524328,-0.5302058391544276,1.0031827087671947
logistic,sgd,F3,0.0,4000.0,0.30000349460899634,-0.5280101953406332,0.9998241147311481
logistic,sgd,F4,0.0,4000.0,0.2975105255666155,-0.5308274940069542,1.0082020723213998
quadratic,adam,F0,0.0,4000.0,39.475200798050366,1.5407522037688137,1.0
quadratic,adam,F1,0.0,4000.0,56.179617863388344,1.6832026368434425,0.7026605430824038
quadratic,adam,F10,0.0,4000.0,83.74963035095561,1.7855654650876722,0.47134776156776126
quadratic,adam,F11,0.0,4000.0,46.84380390679148,1.613794209799113,0.8426984468767106
quadratic,adam,F2,0.0,4000.0,81.26331587651602,1.7872240108049395,0.4857690136350707
quadratic,adam,F3,0.0,4000.0,40.12795071628172,1.551722588588802,0.9837332854885485
quadratic,adam,F4,0.0,4000.0,51.66109189822787,1.6576943775318362,0.764118591914711
quadratic,sgd,F0,0.0,4000.0,258.91221936501665,2.1128065786318464,1.0
quadratic,sgd,F1,0.0,4000.0,257.9138361983033,2.110995993970741,1.0038709949858826
quadratic,sgd,F10,0.0,4000.0,224.83978899696257,2.0719002778495015,1.1515409284097593
quadratic,sgd,F11,0.0,4000.0,249.44391043616278,2.0835126969850704,1.0379576671657293
quadratic,sgd,F2,0.0,4000.0,261.46290080588903,2.1000693644595763,0.9902445760640971
quadratic,sgd,F3,0.0,4000.0,257.95585717079376,2.107664273721784,1.0037074645433992
quadratic,sgd,F4,0.0,4000.0,241.7829854323039,2.057378673022993,1.0708454894048314
