task,filter,noise,optimizer,clip,seed,t_eps,final_grad_norm_sq,final_loss,final_alpha_hat,elapsed_s
quadratic,F0,N3,sgd,False,0,-1,1.5485820054748416,0.09201383207543862,,1.3484362099989085
quadratic,F0,N3,sgd,False,1,-1,1.5011572721886781,0.12867843093250214,,1.3297725730008096
quadratic,F0,N3,sgd,False,2,-1,1.264435180399559,0.12346244167226525,,1.3167595019986038
quadratic,F0,N3,sgd,False,3,-1,1.0454258773535874,0.09018093297415213,,1.350037643001997
quadratic,F0,N3,sgd,False,4,-1,1.1440340151293422,0.07619379027548814,,0.8286933550043614
quadratic,F0,N3,sgd,False,5,-1,1.201629974915629,0.05004510408033486,,1.3167598319996614
quadratic,F0,N3,sgd,True,0,-1,1.5474174550741502,0.09149658591244936,1.0975710692480491,1.3630125299969222
quadratic,F0,N3,sgd,True,1,-1,1.5011456695700585,0.12867715933582388,1.3993865253409823,0.8056543200000306
quadratic,F0,N3,sgd,True,2,-1,1.2638737691925666,0.12327727221076235,1.114620503769582,1.393720874999417
quadratic,F0,N3,sgd,True,3,-1,1.045218490399202,0.09009706198401736,1.1608104944585766,0.8129825919968425
quadratic,F0,N3,sgd,True,4,-1,1.1440333309965152,0.07619347408838212,1.05,0.8505201139996643
quadratic,F0,N3,sgd,True,5,-1,1.2016292676111542,0.05004473073231386,1.3480751271928895,1.3583342710044235
quadratic,F0,N3,adam,False,0,-1,1.2710014329579722,0.018855534793353113,,0.8078148440035875
quadratic,F0,N3,adam,False,1,-1,0.8847397381901992,0.06749825664125053,,0.8387798299954738
quadratic,F0,N3,adam,False,2,-1,1.0387109119228568,0.06405392779188579,,0.7991964909961098
quadratic,F0,N3,adam,False,3,-1,0.8568832047177808,0.052257613802025926,,0.8379288619980798
quadratic,F0,N3,adam,False,4,-1,0.8689577657175496,0.043293745934731065,,1.312960422001197
quadratic,F0,N3,adam,False,5,-1,0.961945108230161,0.019106562484231066,,1.392362961996696
quadratic,F0,N3,adam,True,0,-1,1.18956449964189,0.004926939546954112,1.0944134896849422,1.4123846080037765
quadratic,F0,N3,adam,True,1,-1,0.8911252109264892,0.0714157266059931,1.4396376709001821,0.8399851860012859
quadratic,F0,N3,adam,True,2,-1,1.0165992023652883,0.060784697767739954,1.105061578688215,0.8434922730011749
