alpha,filter,optimizer,slope
1.2,F0,sgd,0.2471270525405268
1.4,F0,sgd,0.19650523535344003
1.6,F0,sgd,0.1370156257223145
1.8,F0,sgd,0.07224320159500658
2.0,F0,sgd,0.043159937380925
1.2,F4,sgd,0.05795999980945389
1.4,F4,sgd,0.06794724752760985
1.6,F4,sgd,0.07723106635603383
1.8,F4,sgd,0.0834246560495588
2.0,F4,sgd,0.08447106189707637
1.2,F7,sgd,0.1164388330389448
1.4,F7,sgd,0.10427700647653232
1.6,F7,sgd,0.09502156055574859
1.8,F7,sgd,0.0767160836645662
2.0,F7,sgd,0.05130442446312457
1.2,F0,clipped_sgd,0.08243054488993641
1.4,F0,clipped_sgd,0.019583309647306518
1.6,F0,clipped_sgd,0.010530174333984833
1.8,F0,clipped_sgd,0.025119057904225486
2.0,F0,clipped_sgd,0.043159937380925
1.2,F4,clipped_sgd,0.058961655314690664
1.4,F4,clipped_sgd,0.06825114979794417
1.6,F4,clipped_sgd,0.07722652680518682
1.8,F4,clipped_sgd,0.0834236515834208
2.0,F4,clipped_sgd,0.08447106189707637
1.2,F7,clipped_sgd,0.09872553919641397
1.4,F7,clipped_sgd,0.08654996965815899
1.6,F7,clipped_sgd,0.08808169051843256
1.8,F7,clipped_sgd,0.07654988049931667
2.0,F7,clipped_sgd,0.05130442446312457
1.2,F0,normalized_sgd,-0.0033669839247378926
1.4,F0,normalized_sgd,0.07151618891033
1.6,F0,normalized_sgd,0.07650776435346268
1.8,F0,normalized_sgd,0.06525561902062015
2.0,F0,normalized_sgd,0.029705777586069338
1.2,F4,normalized_sgd,0.0702653456890762
1.4,F4,normalized_sgd,0.07293169849105686
1.6,F4,normalized_sgd,0.07794033537668739
1.8,F4,normalized_sgd,0.07900402498678827
2.0,F4,normalized_sgd,0.07954097128913816
1.2,F7,normalized_sgd,0.10407259415725488
1.4,F7,normalized_sgd,0.07802315239771403
1.6,F7,normalized_sgd,0.06975190149989048
1.8,F7,normalized_sgd,0.07100520787593097
2.0,F7,normalized_sgd,0.06226652903588873
