train,test,filter,optimizer,seed,test_acc,majority
AAPL,BTC-USD,F0,adam,0,0.4890185312285518,0.511324639670556
AAPL,BTC-USD,F0,adam,1,0.4886753603294441,0.511324639670556
AAPL,BTC-USD,F0,adam,2,0.4883321894303363,0.511324639670556
AAPL,BTC-USD,F4,adam,0,0.4814687714481812,0.511324639670556
AAPL,BTC-USD,F4,adam,1,0.4814687714481812,0.511324639670556
AAPL,BTC-USD,F4,adam,2,0.4807824296499657,0.511324639670556
AAPL,BTC-USD,F7,adam,0,0.48455730954015097,0.511324639670556
AAPL,BTC-USD,F7,adam,1,0.48421413864104323,0.511324639670556
AAPL,BTC-USD,F7,adam,2,0.48284145504461223,0.511324639670556
AAPL,BTC-USD,F8,adam,0,0.48455730954015097,0.511324639670556
AAPL,BTC-USD,F8,adam,1,0.48421413864104323,0.511324639670556
AAPL,BTC-USD,F8,adam,2,0.48284145504461223,0.511324639670556
AAPL,BTC-USD,F9,adam,0,0.48249828414550444,0.511324639670556
AAPL,BTC-USD,F9,adam,1,0.48249828414550444,0.511324639670556
AAPL,BTC-USD,F9,adam,2,0.48627316403568976,0.511324639670556
AAPL,ETH-USD,F0,adam,0,0.49279341111873715,0.5085792724776939
AAPL,ETH-USD,F0,adam,1,0.4945092656142759,0.5085792724776939
AAPL,ETH-USD,F0,adam,2,0.4938229238160604,0.5085792724776939
AAPL,ETH-USD,F4,adam,0,0.48249828414550444,0.5085792724776939
AAPL,ETH-USD,F4,adam,1,0.48455730954015097,0.5085792724776939
AAPL,ETH-USD,F4,adam,2,0.4835277968428277,0.5085792724776939
AAPL,ETH-USD,F7,adam,0,0.4814687714481812,0.5085792724776939
AAPL,ETH-USD,F7,adam,1,0.48181194234728897,0.5085792724776939
AAPL,ETH-USD,F7,adam,2,0.4776938915579959,0.5085792724776939
AAPL,ETH-USD,F8,adam,0,0.4814687714481812,0.5085792724776939
AAPL,ETH-USD,F8,adam,1,0.48181194234728897,0.5085792724776939
AAPL,ETH-USD,F8,adam,2,0.4776938915579959,0.5085792724776939
AAPL,ETH-USD,F9,adam,0,0.48490048043925876,0.5085792724776939
AAPL,ETH-USD,F9,adam,1,0.4852436513383665,0.5085792724776939
AAPL,ETH-USD,F9,adam,2,0.48455730954015097,0.5085792724776939
