domain,series,filter,optimizer,model,seed,t_conv,conv,slope,floor_p50,floor_p10,floor_p90,auc,final_grad,holdout,alpha_hat,hurst_hat
financial_daily,AAPL,F0,sgd,regression,0,111,1,-0.8380842387024884,0.0001216452957499229,2.784761691739521e-05,0.0002576370404634102,-3.9253202470928636,6.016862789107162e-05,0.9725743434159745,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,sgd,regression,1,96,1,0.39332539703541697,8.669989618214147e-05,3.1847167153552964e-05,0.0002118358866471868,-3.9612168651939426,0.00014039567214959155,0.9727234961302105,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,sgd,regression,2,114,1,-1.0567396908341595,0.00010664042088350328,4.992942043000763e-05,0.00021199583900217837,-3.927749780162958,7.850460288696765e-05,0.9724710129937258,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,sgd,regression,3,123,1,1.9938900909888766,0.00010988101857533787,4.137789395409351e-05,0.0002571264607150512,-3.9344853052557136,0.00011329668564803368,0.9726434224237251,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,sgd,classification,0,1681,1,-0.8036380544612091,7.588098403118009e-06,2.90450578121813e-06,2.3396004703932255e-05,-4.78685873566013,2.0763206864137007e-05,0.5023923444976076,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,sgd,classification,1,3458,1,1.9364253091350734,1.6165596788671058e-05,6.1483636938129015e-06,2.4926894179572595e-05,-4.6152720017461855,1.490031236783284e-05,0.49760765550239233,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,sgd,classification,2,2308,1,-1.823566148105131,1.626808326643365e-05,1.2284419666019446e-05,2.123715040282418e-05,-4.599664831440791,1.7707011644471623e-05,0.5135566188197768,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,sgd,classification,3,1091,1,1.9552590499954268,1.1639046140351366e-05,5.74565402486396e-06,3.337277740661252e-05,-4.8314187833204265,3.930473143214686e-06,0.5055821371610846,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,adam,regression,0,4000,0,0.24869724467786777,0.002219451994639403,0.0008228032761196505,0.004522237988403917,-2.7198223570572213,0.0006932049771847537,0.9744521011304587,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,adam,regression,1,817,1,-0.5440819280033735,0.0020412842646260077,0.0007776981752061183,0.004069587776976207,-2.723893817199639,0.0015928295493324034,0.9750543777925662,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,adam,regression,2,579,1,0.045756590308739485,0.002166047425980919,0.0008267541409546781,0.004608436237466074,-2.7139408366427262,0.0012591398836733127,0.9751217229331945,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,adam,regression,3,4000,0,0.7933261400066536,0.0019224182077277126,0.0007399636174608119,0.004346173371962352,-2.7118279644375325,0.0007401246406512637,0.9716798447123501,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,adam,classification,0,4000,0,-1.2110949450348303,0.00024333778220569344,8.255991920440861e-05,0.000690167643457083,-3.56820175951893,6.887248173027179e-05,0.5199362041467305,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,adam,classification,1,4000,0,0.7626924340197624,0.0002269665776365328,9.317460872988734e-05,0.0004930562382692386,-3.6101566180430176,0.00017097935386054677,0.5135566188197768,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,adam,classification,2,4000,0,-0.4170521108612222,0.0002793878902763489,0.00013277930896835367,0.0005749801738933486,-3.5925161620577617,0.0002750285283354922,0.5039872408293461,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F0,adam,classification,3,4000,0,1.160793333387607,0.00025170940328836963,0.00010184759561154289,0.0005504569357309765,-3.5895750591263824,0.0002639988404066798,0.5231259968102073,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,sgd,regression,0,655,1,-3.1179583587102053,5.8967809939885376e-05,3.6942644732875276e-05,7.062476000784922e-05,-3.673816337149361,3.278617354808096e-05,1.0367500206471787,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,sgd,regression,1,674,1,-0.4653173873840019,4.873863558964922e-05,4.1364778285938286e-05,8.01817921096664e-05,-3.7000409239105467,3.6296408117798046e-05,1.036982861170515,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,sgd,regression,2,541,1,-2.847543728930622,4.109581385856804e-05,2.8509823427881677e-05,6.0086666803710216e-05,-3.7352415381175277,2.5545423749717048e-05,1.037933519669904,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,sgd,regression,3,582,1,-2.1897680090266527,5.526831984432776e-05,3.99034104931175e-05,6.916468266934087e-05,-3.710080783211136,3.720736255716191e-05,1.0363106373086086,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,sgd,classification,0,4000,0,-1.5738203134072588,0.001997266009952003,0.0017486015601067932,0.002333397034210912,-2.2601165588918537,0.0016966068010521365,0.48325358851674644,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,sgd,classification,1,4000,0,-1.58870914527838,0.0019131134857030563,0.0016638448120783684,0.00223694859051777,-2.2713902700781348,0.0016213462174912141,0.48484848484848486,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,sgd,classification,2,4000,0,-1.467577231407315,0.0020260217172091235,0.0017901752684802946,0.0023323456249613322,-2.2602375771918775,0.001726876872240623,0.4864433811802233,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,sgd,classification,3,4000,0,-1.531781157535331,0.0020148512448727174,0.001742917492751228,0.0023282910043623587,-2.2605955830744384,0.001703202436182288,0.48484848484848486,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,adam,regression,0,58,1,-3.0048581433977857,6.369374781174772e-05,6.85450268609402e-06,0.00035079798981409296,-4.019882191556319,0.000180823426176567,1.0411385482603193,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,adam,regression,1,93,1,-0.23787449385974546,5.6789050275899825e-05,1.1051351927477138e-05,0.00037058758575855106,-4.075045904187074,0.00020843749236274957,1.0320414424234177,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,adam,regression,2,52,1,-0.8454493473497426,5.746959944827405e-05,1.5242566440475848e-05,0.00028816396604564926,-4.053140808314488,2.982149242763616e-05,1.0417611441493178,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,adam,regression,3,89,1,5.1067084026395895,8.608339376993821e-05,1.539915046747742e-05,0.00034669327301005615,-4.089942337973389,1.0859872087487972e-05,1.0397911355148488,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,adam,classification,0,867,1,-2.544957866198189,5.7539429429167836e-05,4.12312046270184e-05,6.863149666980558e-05,-3.7270298533340576,3.898355186506394e-05,0.4960127591706539,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,adam,classification,1,865,1,-0.8959479500999853,4.605267233152636e-05,4.3483633792415465e-05,5.002402729523129e-05,-3.783355523143342,4.374746680520618e-05,0.49920255183413076,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,adam,classification,2,955,1,-1.7735840432551075,5.062183177810691e-05,4.402939751717527e-05,6.304993597237857e-05,-3.7480564290925775,3.8523705285857e-05,0.49920255183413076,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F1,adam,classification,3,803,1,-1.9105905877669223,5.693753365558751e-05,4.239137239871293e-05,6.698687638879789e-05,-3.748731507141562,4.2544641363022524e-05,0.49760765550239233,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F2,sgd,regression,0,1490,1,-1.7069004417982452,1.0096413216019615e-05,8.598932745110958e-06,1.1527469084624718e-05,-4.251197662646416,8.339795879093379e-06,0.985130140243141,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F2,sgd,regression,1,1369,1,2.1176817662108665,1.226327631731472e-05,8.056036510660428e-06,1.7977491146248838e-05,-4.365047153681955,1.1461548500226777e-05,0.9858123698628939,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F2,sgd,regression,2,1434,1,-0.8132480215606387,1.2727844278781508e-05,1.0297696127017966e-05,1.6213365659518776e-05,-4.263285552393812,8.828733269955192e-06,0.984519708974548,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F2,sgd,regression,3,1712,1,-0.9285039778601758,9.398581922192674e-06,8.334081755359837e-06,1.2039897963124642e-05,-4.269491992892241,8.180111099155525e-06,0.9848762843175797,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F2,sgd,classification,0,4000,0,-0.9175217022655603,0.0033441570116896843,0.003082477267128851,0.0036607610018255334,-2.2629998891882024,0.003024048886942616,0.4960127591706539,1.3936787852089647,0.05966395853845447
financial_daily,AAPL,F2,sgd,classification,1,4000,0,-0.9300014172266441,0.0032673657022441417,0.003000151167106732,0.0035786178825490695,-2.269022943877764,0.002947406470837946,0.4960127591706539,1.3936787852089647,0.05966395853845447
