domain,model,optimizer,alpha_hat,hurst_hat,bucket,best_filter,best_t_conv,best_conv_frac,best_holdout,f0_t_conv,f0_conv_frac,f0_holdout,speedup
financial_15m,classification,adam,1.5096984423430928,0.06674532785573914,heavy_short,F7,3655.0,0.75,0.6062271154215042,4000.0,0.25,0.5110593713620489,1.094391244870041
financial_15m,classification,sgd,1.5096984423430928,0.06674532785573914,heavy_short,F7,4000.0,0.0,0.5961929097637522,1236.0,1.0,0.5148428405122236,0.309
financial_15m,regression,adam,1.5096984423430928,0.06674532785573914,heavy_short,F7,183.0,1.0,0.6909236231800385,3857.0,0.5,0.6917959387820385,21.07650273224044
financial_15m,regression,sgd,1.5096984423430928,0.06674532785573914,heavy_short,F0,110.5,1.0,0.6908965521657988,110.5,1.0,0.6908965521657988,1.0
financial_5m,classification,adam,1.5426814014825174,0.05604978899490204,heavy_short,F4,713.5,1.0,0.5830480033034829,4000.0,0.0625,0.5024257713953038,5.606166783461808
financial_5m,classification,sgd,1.5426814014825174,0.05604978899490204,heavy_short,F4,4000.0,0.0,0.5816862239117444,1994.0,0.8125,0.5047545119347953,0.4985
financial_5m,regression,adam,1.5426814014825174,0.05604978899490204,heavy_short,F0,3857.0,0.5,0.7176539901255476,3857.0,0.5,0.7176539901255476,1.0
financial_5m,regression,sgd,1.5426814014825174,0.05604978899490204,heavy_short,F0,136.0,1.0,0.7178821244325391,136.0,1.0,0.7178821244325391,1.0
financial_daily,classification,adam,1.4756649688993362,0.0579863695869024,heavy_short,F7,3752.0,0.575,0.5390749601275917,3000.0,0.55,0.5087719298245614,0.7995735607675906
financial_daily,classification,sgd,1.4756649688993362,0.0579863695869024,heavy_short,F7,4000.0,0.0,0.5263157894736843,1230.5,1.0,0.5055821371610846,0.307625
financial_daily,regression,adam,1.4756649688993362,0.0579863695869024,heavy_short,F7,250.0,1.0,0.848815629597828,817.0,0.7,0.8571326617686497,3.268
financial_daily,regression,sgd,1.4756649688993362,0.0579863695869024,heavy_short,F7,3290.0,0.7,0.8502289372543874,111.0,1.0,0.8565537208366846,0.033738601823708206
macro_fred,classification,adam,1.9978406173916812,0.5105418743251077,light_short,F0,150.0,1.0,0.9963235294117647,150.0,1.0,0.9963235294117647,1.0
macro_fred,classification,sgd,1.9978406173916812,0.5105418743251077,light_short,F0,798.0,1.0,0.9926470588235294,798.0,1.0,0.9926470588235294,1.0
macro_fred,regression,adam,1.9978406173916812,0.5105418743251077,light_short,F0,20.0,1.0,0.007697386815824773,20.0,1.0,0.007697386815824773,1.0
macro_fred,regression,sgd,1.9978406173916812,0.5105418743251077,light_short,F0,29.0,1.0,0.008160441549172837,29.0,1.0,0.008160441549172837,1.0
scientific_sunspots,classification,adam,1.4468,0.15735290729043636,heavy_short,F0,89.5,1.0,0.8864104323953328,89.5,1.0,0.8864104323953328,1.0
scientific_sunspots,classification,sgd,1.4468,0.15735290729043636,heavy_short,F0,579.5,1.0,0.8834362846030657,579.5,1.0,0.8834362846030657,1.0
scientific_sunspots,regression,adam,1.4468,0.15735290729043636,heavy_short,F0,20.0,1.0,0.2244057982118013,20.0,1.0,0.2244057982118013,1.0
scientific_sunspots,regression,sgd,1.4468,0.15735290729043636,heavy_short,F0,35.0,1.0,0.2242643781837606,35.0,1.0,0.2242643781837606,1.0
sensor_etth1,classification,adam,1.4444994580766801,0.13249693643545793,heavy_short,F0,220.0,1.0,0.8825554705432288,220.0,1.0,0.8825554705432288,1.0
sensor_etth1,classification,sgd,1.4444994580766801,0.13249693643545793,heavy_short,F0,1679.0,1.0,0.8752869166029074,1679.0,1.0,0.8752869166029074,1.0
sensor_etth1,regression,adam,1.4444994580766801,0.13249693643545793,heavy_short,F0,43.0,1.0,0.48773171325959974,43.0,1.0,0.48773171325959974,1.0
sensor_etth1,regression,sgd,1.4444994580766801,0.13249693643545793,heavy_short,F0,89.5,1.0,0.49138953035747596,89.5,1.0,0.49138953035747596,1.0
sensor_etth2,classification,adam,1.4659222240883296,0.1563491206983994,heavy_short,F0,114.5,1.0,0.919663351185922,114.5,1.0,0.919663351185922,1.0
sensor_etth2,classification,sgd,1.4659222240883296,0.1563491206983994,heavy_short,F0,665.5,1.0,0.9058913542463658,665.5,1.0,0.9058913542463658,1.0
sensor_etth2,regression,adam,1.4659222240883296,0.1563491206983994,heavy_short,F0,34.0,1.0,0.13549409922081082,34.0,1.0,0.13549409922081082,1.0
sensor_etth2,regression,sgd,1.4659222240883296,0.1563491206983994,heavy_short,F0,40.5,1.0,0.137717766365916,40.5,1.0,0.137717766365916,1.0
sensor_ettm1,classification,adam,1.3896841026726285,0.2176414350409142,heavy_short,F0,206.5,1.0,0.9512055109070034,206.5,1.0,0.9512055109070034,1.0
sensor_ettm1,classification,sgd,1.3896841026726285,0.2176414350409142,heavy_short,F0,1389.0,1.0,0.9383849980864907,1389.0,1.0,0.9383849980864907,1.0
sensor_ettm1,regression,adam,1.3896841026726285,0.2176414350409142,heavy_short,F0,44.0,1.0,0.10101266109453622,44.0,1.0,0.10101266109453622,1.0
sensor_ettm1,regression,sgd,1.3896841026726285,0.2176414350409142,heavy_short,F0,74.5,1.0,0.10187978250729363,74.5,1.0,0.10187978250729363,1.0
