domain,model,optimizer,filter,n_cells,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0
financial_15m,classification,adam,F0,16,4000.0,0.25,0.00027207295376179946,0.06519874825332074,-3.554793924569955,0.5110593713620489,1.5096984423430928,0.06674532785573914,1.0,1.0
financial_15m,classification,adam,F1,16,940.0,1.0,4.112028873516977e-05,-1.6327695496421732,-3.902333295369536,0.5659143236257892,1.5096984423430928,0.06674532785573914,4.25531914893617,6.616513699941464
financial_15m,classification,adam,F10,16,3202.5,0.75,6.878923158540407e-05,-1.5428443077886393,-3.631783347166341,0.5475118065797672,1.5096984423430928,0.06674532785573914,1.249024199843872,3.955167800123076
financial_15m,classification,adam,F11,16,407.0,0.75,5.996724153954486e-05,0.1092494569482369,-3.9474080658021724,0.5694523342864556,1.5096984423430928,0.06674532785573914,9.828009828009828,4.537026329323209
financial_15m,classification,adam,F2,16,2801.0,0.75,5.963307248958879e-05,-1.6669622778631255,-3.6710137236354097,0.5346922151347221,1.5096984423430928,0.06674532785573914,1.4280614066404855,4.56245070735371
financial_15m,classification,adam,F4,16,713.5,1.0,1.206477266914132e-05,-2.259746439195568,-4.289774388128981,0.57413282342789,1.5096984423430928,0.06674532785573914,5.606166783461808,22.551021989638826
financial_15m,classification,adam,F7,16,3655.0,0.75,6.662607239408214e-05,-1.2239375725077248,-3.959205762774233,0.6062271154215042,1.5096984423430928,0.06674532785573914,1.094391244870041,4.083580856343042
financial_15m,classification,adam,FA,16,627.0,1.0,1.3348221559770444e-05,-0.827880547304236,-4.441253266762713,0.5696630481135629,1.5096984423430928,0.06674532785573914,6.379585326953748,20.382711849928153
financial_15m,classification,sgd,F0,16,1236.0,1.0,1.5138117541326007e-05,0.4706399500377241,-4.6402058107195145,0.5148428405122236,1.5096984423430928,0.06674532785573914,1.0,1.0
financial_15m,classification,sgd,F1,16,4000.0,0.0,0.001564280447136724,-1.3552552728126492,-2.457828366804367,0.5703200260835974,1.5096984423430928,0.06674532785573914,0.309,0.009677367999475403
financial_15m,classification,sgd,F10,16,4000.0,0.0,0.0026632799611659257,-0.7934457813295874,-2.407006884836677,0.54854780522063,1.5096984423430928,0.06674532785573914,0.309,0.0056840128571007875
financial_15m,classification,sgd,F11,16,4000.0,0.25,0.00028291910852687213,-1.5287223968311956,-3.375577546284697,0.5687127882023508,1.5096984423430928,0.06674532785573914,0.309,0.05350687558768468
financial_15m,classification,sgd,F2,16,4000.0,0.0,0.0026906275587208995,-0.8520185984021706,-2.3779477772286755,0.5341101429577721,1.5096984423430928,0.06674532785573914,0.309,0.005626240425680666
financial_15m,classification,sgd,F4,16,4000.0,0.0,0.0009565875460168255,-1.2914593420764846,-2.6660469165259055,0.573678896963977,1.5096984423430928,0.06674532785573914,0.309,0.015825125054533946
financial_15m,classification,sgd,F7,16,4000.0,0.0,0.001200846074048878,-1.0140409533350316,-2.788949619759571,0.5961929097637522,1.5096984423430928,0.06674532785573914,0.309,0.012606209795302909
financial_15m,classification,sgd,FA,16,4000.0,0.0,0.0006968789913237594,-1.4297830662832345,-2.8167140180446935,0.5657166885879505,1.5096984423430928,0.06674532785573914,0.309,0.021722734836029902
financial_15m,regression,adam,F0,16,3857.0,0.5,0.0023702282234159752,0.15038726934853522,-2.6737927700390838,0.6917959387820385,1.5096984423430928,0.06674532785573914,1.0,1.0
financial_15m,regression,adam,F1,16,84.5,1.0,7.330738880186918e-05,0.06660668435735095,-3.9860761951266133,0.7295338823408031,1.5096984423430928,0.06674532785573914,45.64497041420118,32.332732923035714
financial_15m,regression,adam,F10,16,66.0,1.0,1.6965248638890704e-05,-0.18098521432888143,-4.7112868071938365,0.6935250372568669,1.5096984423430928,0.06674532785573914,58.43939393939394,139.7107860819985
financial_15m,regression,adam,F11,16,85.0,0.9375,0.000755259847782623,-0.11966786946752515,-2.998948626725523,0.7549945242702484,1.5096984423430928,0.06674532785573914,45.37647058823529,3.1382950257116917
