b_rescue,c_break,n_discordant,conv_F0,conv_Fk,rate_gain,mcnemar_p,block,model,noise,optimizer,filter
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,clipped_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,clipped_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,clipped_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,clipped_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,clipped_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,normalized_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,normalized_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,normalized_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,normalized_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,normalized_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N1,sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,clipped_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,clipped_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,clipped_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,clipped_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,clipped_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,normalized_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,normalized_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,normalized_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,normalized_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,normalized_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N2,sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,clipped_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,clipped_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,clipped_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,clipped_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,clipped_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,normalized_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,normalized_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,normalized_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,normalized_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,normalized_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,ar,N3,sgd,F5
1,0,1,0.01,0.02,0.01,0.5,A,ar,N4,clipped_sgd,F1
0,1,1,0.01,0.0,-0.01,1.0,A,ar,N4,clipped_sgd,F2
1,1,2,0.01,0.01,0.0,0.75,A,ar,N4,clipped_sgd,F3
1,0,1,0.01,0.02,0.01,0.5,A,ar,N4,clipped_sgd,F4
2,0,2,0.01,0.03,0.019999999999999997,0.25,A,ar,N4,clipped_sgd,F5
1,1,2,0.01,0.01,0.0,0.75,A,ar,N4,normalized_sgd,F1
0,1,1,0.01,0.0,-0.01,1.0,A,ar,N4,normalized_sgd,F2
0,1,1,0.01,0.0,-0.01,1.0,A,ar,N4,normalized_sgd,F3
1,1,2,0.01,0.01,0.0,0.75,A,ar,N4,normalized_sgd,F4
1,1,2,0.01,0.01,0.0,0.75,A,ar,N4,normalized_sgd,F5
1,1,2,0.04,0.04,0.0,0.75,A,ar,N4,sgd,F1
0,2,2,0.04,0.02,-0.02,1.0,A,ar,N4,sgd,F2
0,0,0,0.04,0.04,0.0,1.0,A,ar,N4,sgd,F3
0,1,1,0.04,0.03,-0.010000000000000002,1.0,A,ar,N4,sgd,F4
1,1,2,0.04,0.04,0.0,0.75,A,ar,N4,sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,clipped_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,clipped_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,clipped_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,clipped_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,clipped_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,normalized_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,normalized_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,normalized_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,normalized_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,normalized_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N1,sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,clipped_sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,clipped_sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,clipped_sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,clipped_sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,clipped_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,normalized_sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,normalized_sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,normalized_sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,normalized_sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,normalized_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N2,sgd,F5
0,96,96,0.96,0.0,-0.96,1.0,A,logistic,N3,clipped_sgd,F1
0,96,96,0.96,0.0,-0.96,1.0,A,logistic,N3,clipped_sgd,F2
0,35,35,0.96,0.61,-0.35,1.0,A,logistic,N3,clipped_sgd,F3
4,0,4,0.96,1.0,0.040000000000000036,0.0625,A,logistic,N3,clipped_sgd,F4
4,0,4,0.96,1.0,0.040000000000000036,0.0625,A,logistic,N3,clipped_sgd,F5
0,98,98,1.0,0.02,-0.98,1.0,A,logistic,N3,normalized_sgd,F1
0,100,100,1.0,0.0,-1.0,1.0,A,logistic,N3,normalized_sgd,F2
0,67,67,1.0,0.33,-0.6699999999999999,1.0,A,logistic,N3,normalized_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N3,normalized_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,logistic,N3,normalized_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N3,sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N3,sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N3,sgd,F3
100,0,100,0.0,1.0,1.0,7.888609052210118e-31,A,logistic,N3,sgd,F4
100,0,100,0.0,1.0,1.0,7.888609052210118e-31,A,logistic,N3,sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,clipped_sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,clipped_sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,clipped_sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,clipped_sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,clipped_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,normalized_sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,normalized_sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,normalized_sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,normalized_sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,normalized_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,logistic,N4,sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,clipped_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,clipped_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,clipped_sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,clipped_sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,clipped_sgd,F5
0,10,10,1.0,0.9,-0.09999999999999998,1.0,A,quadratic,N1,normalized_sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,normalized_sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,normalized_sgd,F3
0,7,7,1.0,0.93,-0.06999999999999995,1.0,A,quadratic,N1,normalized_sgd,F4
0,1,1,1.0,0.99,-0.010000000000000009,1.0,A,quadratic,N1,normalized_sgd,F5
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,sgd,F1
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,sgd,F2
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,sgd,F3
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,sgd,F4
0,0,0,1.0,1.0,0.0,1.0,A,quadratic,N1,sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,clipped_sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,clipped_sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,clipped_sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,clipped_sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,clipped_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,normalized_sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,normalized_sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,normalized_sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,normalized_sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,normalized_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N2,sgd,F5
0,47,47,0.47,0.0,-0.47,1.0,A,quadratic,N3,clipped_sgd,F1
0,47,47,0.47,0.0,-0.47,1.0,A,quadratic,N3,clipped_sgd,F2
0,43,43,0.47,0.04,-0.43,1.0,A,quadratic,N3,clipped_sgd,F3
53,0,53,0.47,1.0,0.53,1.1102230246251565e-16,A,quadratic,N3,clipped_sgd,F4
53,0,53,0.47,1.0,0.53,1.1102230246251565e-16,A,quadratic,N3,clipped_sgd,F5
0,91,91,0.91,0.0,-0.91,1.0,A,quadratic,N3,normalized_sgd,F1
0,91,91,0.91,0.0,-0.91,1.0,A,quadratic,N3,normalized_sgd,F2
0,90,90,0.91,0.01,-0.9,1.0,A,quadratic,N3,normalized_sgd,F3
1,15,16,0.91,0.77,-0.14,0.9999847412109375,A,quadratic,N3,normalized_sgd,F4
2,11,13,0.91,0.82,-0.09000000000000008,0.998291015625,A,quadratic,N3,normalized_sgd,F5
1,1,2,0.02,0.02,0.0,0.75,A,quadratic,N3,sgd,F1
1,0,1,0.02,0.03,0.009999999999999998,0.5,A,quadratic,N3,sgd,F2
0,0,0,0.02,0.02,0.0,1.0,A,quadratic,N3,sgd,F3
98,0,98,0.02,1.0,0.98,3.1554436208840472e-30,A,quadratic,N3,sgd,F4
98,0,98,0.02,1.0,0.98,3.1554436208840472e-30,A,quadratic,N3,sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,clipped_sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,clipped_sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,clipped_sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,clipped_sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,clipped_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,normalized_sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,normalized_sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,normalized_sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,normalized_sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,normalized_sgd,F5
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,sgd,F1
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,sgd,F2
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,sgd,F3
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,sgd,F4
0,0,0,0.0,0.0,0.0,1.0,A,quadratic,N4,sgd,F5
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adam,F1
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adam,F2
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adam,F3
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adam,F4
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adam,F5
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adamw,F1
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adamw,F2
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adamw,F3
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adamw,F4
0,0,0,1.0,1.0,0.0,1.0,B,ar,N2,adamw,F5
0,0,0,0.0,0.0,0.0,1.0,B,ar,N4,adam,F1
1,0,1,0.0,0.01,0.01,0.5,B,ar,N4,adam,F2
1,0,1,0.0,0.01,0.01,0.5,B,ar,N4,adam,F3
1,0,1,0.0,0.01,0.01,0.5,B,ar,N4,adam,F4
1,0,1,0.0,0.01,0.01,0.5,B,ar,N4,adam,F5
0,0,0,0.0,0.0,0.0,1.0,B,ar,N4,adamw,F1
1,0,1,0.0,0.01,0.01,0.5,B,ar,N4,adamw,F2
1,0,1,0.0,0.01,0.01,0.5,B,ar,N4,adamw,F3
1,0,1,0.0,0.01,0.01,0.5,B,ar,N4,adamw,F4
1,0,1,0.0,0.01,0.01,0.5,B,ar,N4,adamw,F5
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adam,F1
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adam,F2
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adam,F3
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adam,F4
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adam,F5
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adamw,F1
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adamw,F2
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adamw,F3
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adamw,F4
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N2,adamw,F5
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adam,F1
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adam,F2
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adam,F3
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adam,F4
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adam,F5
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adamw,F1
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adamw,F2
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adamw,F3
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adamw,F4
0,0,0,0.0,0.0,0.0,1.0,B,logistic,N4,adamw,F5
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adam,F1
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adam,F2
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adam,F3
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adam,F4
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adam,F5
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adamw,F1
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adamw,F2
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adamw,F3
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adamw,F4
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N2,adamw,F5
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adam,F1
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adam,F2
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adam,F3
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adam,F4
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adam,F5
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adamw,F1
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adamw,F2
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adamw,F3
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adamw,F4
0,0,0,0.0,0.0,0.0,1.0,B,quadratic,N4,adamw,F5
