stage1_mcnemar_p,rate_gain,hit_F0,hit_Fk,n_both,speedup_both,t_stat,p_cond,cohen_d,block,model,noise,optimizer,filter
1.0,0.0,1.0,1.0,100,0.803127026797955,-4.0622573910327535,0.9999513059660835,-0.4062257391032753,A,ar,N1,clipped_sgd,F1
1.0,0.0,1.0,1.0,100,0.8435375052993889,-3.4036763704314392,0.9995194708156633,-0.3403676370431439,A,ar,N1,clipped_sgd,F2
1.0,0.0,1.0,1.0,100,0.9048500761036878,-1.5543541254267974,0.9383544577520037,-0.15543541254267976,A,ar,N1,clipped_sgd,F3
1.0,0.0,1.0,1.0,100,0.63894992955459,-6.587736361450481,0.9999999989131932,-0.658773636145048,A,ar,N1,clipped_sgd,F4
1.0,0.0,1.0,1.0,100,0.7810549260124416,-4.1186238362154475,0.999960439921893,-0.4118623836215447,A,ar,N1,clipped_sgd,F5
0.3776143287523155,0.02999999999999997,0.32,0.35,13,0.8880572101949884,-0.24513255823054397,0.5947521596345152,-0.06798753907583759,A,ar,N1,normalized_sgd,F1
1.0,-0.32,0.32,0.0,0,,,,,A,ar,N1,normalized_sgd,F2
0.9999997685663402,-0.25,0.32,0.07,4,14.640877829110226,3.271765419929634,0.023357393480094635,1.635882709964817,A,ar,N1,normalized_sgd,F3
0.9943345079082064,-0.14,0.32,0.18,7,0.4688036396726609,-0.9478363052690906,0.8100962624439467,-0.3582484496200448,A,ar,N1,normalized_sgd,F4
0.9179252991084468,-0.08000000000000002,0.32,0.24,7,2.4123925414070375,1.4703007533801626,0.09594042683731231,0.5557214494164029,A,ar,N1,normalized_sgd,F5
1.0,0.0,1.0,1.0,100,0.803127026797955,-4.0622573910327535,0.9999513059660835,-0.4062257391032753,A,ar,N1,sgd,F1
1.0,0.0,1.0,1.0,100,0.8435375052993889,-3.4036763704314392,0.9995194708156633,-0.3403676370431439,A,ar,N1,sgd,F2
1.0,0.0,1.0,1.0,100,0.9048500761036878,-1.5543541254267974,0.9383544577520037,-0.15543541254267976,A,ar,N1,sgd,F3
1.0,0.0,1.0,1.0,100,0.63894992955459,-6.587736361450481,0.9999999989131932,-0.658773636145048,A,ar,N1,sgd,F4
1.0,0.0,1.0,1.0,100,0.7810549260124416,-4.1186238362154475,0.999960439921893,-0.4118623836215447,A,ar,N1,sgd,F5
1.0,-0.01,0.01,0.0,0,,,,,A,ar,N2,clipped_sgd,F1
1.0,-0.01,0.01,0.0,0,,,,,A,ar,N2,clipped_sgd,F2
1.0,-0.01,0.01,0.0,0,,,,,A,ar,N2,clipped_sgd,F3
