mean_log_diff,p_tost,equivalent,model,noise,filter
-0.03455905687454834,3.0591197207861335e-75,True,ar,N1,F4
0.17270452283425816,3.1926416338011586e-38,True,ar,N1,F5
-0.0401273122741126,6.492639966318926e-76,True,logistic,N1,F4
-0.02709390841636814,3.6163568311288475e-76,True,logistic,N1,F5
-0.09852419905885706,6.309808410451146e-79,True,quadratic,N1,F4
0.05281821285539502,1.615449513645466e-76,True,quadratic,N1,F5
0.0432228403952169,2.9369782624002976e-87,True,ar,N4,F4
0.0454505556473563,1.2541877412430444e-84,True,ar,N4,F5
0.0016933302542411445,3.4660291764580065e-193,True,logistic,N4,F4
0.0016888106360492467,3.3573004351211067e-193,True,logistic,N4,F5
0.04702652341993373,6.548342727384187e-61,True,quadratic,N4,F4
0.04760018086173026,1.0498793265205979e-60,True,quadratic,N4,F5
