n,mean_log_diff,floor_ratio,t_stat,p_one_sided,cohen_d,ci_lo,ci_hi,wilcoxon_p,perm_p,power,boot_ratio,boot_ratio_lo,boot_ratio_hi,block,model,noise,optimizer,filter,metric,conv_F0,conv_Fk,speedup,p_holm
100,0.7166597392122371,5.207865256996622,112.44272721980829,1.5056280160407141e-106,11.24427272198083,0.7040132262881161,0.7293062521363581,1.948279922547955e-18,0.0,1.0,5.275556578674248,5.087496392050939,5.484227872458264,A,ar,N3,clipped_sgd,F4,floor,1.0,1.0,,2.890805790798171e-104
100,0.6261945436297669,4.228579924631638,111.1345212766536,4.75289540346658e-106,11.11345212766536,0.6150143467463935,0.6373747405131402,1.948279922547955e-18,0.0,1.0,4.211429542569037,4.064146072967127,4.363485652710429,A,quadratic,N3,clipped_sgd,F4,floor,0.47,1.0,,9.078030220621169e-104
100,0.2928072554217558,1.9624891096863755,97.84958281439172,1.263707155954012e-100,9.784958281439174,0.2868696407378521,0.2987448701056595,1.948279922547955e-18,0.0,1.0,1.9663203210689622,1.934665782127845,2.003602217160828,A,ar,N1,normalized_sgd,F2,floor,1.0,1.0,,2.401043596312623e-98
100,2.0292667952819845,106.97118215404412,76.98652486655953,1.8979684385010505e-90,7.698652486655953,1.976965362254434,2.081568228309535,1.948279922547955e-18,0.0,1.0,96.3923479415088,84.48755436625646,116.69216944153844,A,quadratic,N3,sgd,F4,floor,0.02,1.0,,3.5871603487669853e-88
100,0.13722841376600237,1.3716029602810975,73.71757919023324,1.2945926395073896e-88,7.371757919023325,0.13353470939027287,0.14092211814173186,1.948279922547955e-18,0.0,1.0,1.3726421279088143,1.3407445840730692,1.4031988532307147,B,quadratic,N2,adam,F2,floor,0.0,0.0,,2.4338341622738924e-86
100,0.13722337927186595,1.3715870602701041,73.71514541916412,1.2987557595370488e-88,7.3715145419164125,0.13352968846048277,0.14091707008324914,1.948279922547955e-18,0.0,1.0,1.3726214604539355,1.340730309894486,1.4031817314771942,B,quadratic,N2,adamw,F2,floor,0.0,0.0,,2.4338341622738924e-86
100,0.49090187778854194,3.096719563638485,70.83049986238187,6.283536349520357e-87,7.083049986238186,0.4771499512974402,0.5046538042796437,1.948279922547955e-18,0.0,1.0,3.0301307435816898,2.8725880282461795,3.2630008376984003,A,ar,N1,clipped_sgd,F2,floor,1.0,1.0,,1.1687377610107866e-84
100,0.49090187778854194,3.096719563638485,70.83049986238187,6.283536349520357e-87,7.083049986238186,0.4771499512974402,0.5046538042796437,1.948279922547955e-18,0.0,1.0,3.0301307435816898,2.8725880282461795,3.2630008376984003,A,ar,N1,sgd,F2,floor,1.0,1.0,,1.1687377610107866e-84
100,0.48328851297895936,3.0429058348658122,70.1811366356786,1.5365232349570896e-86,7.018113663567861,0.46962459549497315,0.49695243046294557,1.948279922547955e-18,0.0,1.0,3.125748622927044,3.0002007813373246,3.230385898256705,A,quadratic,N1,normalized_sgd,F3,floor,1.0,1.0,,2.827202752321045e-84
100,0.2821701209237694,1.915005920221673,68.5932171959196,1.415431775559965e-85,6.85932171959196,0.27400769962273874,0.2903325422248001,1.948279922547955e-18,0.0,1.0,1.9073961743376122,1.8632478609810326,1.959393864339435,B,quadratic,N2,adam,F3,floor,0.0,0.0,,2.590240149274736e-83
100,0.2821650331424068,1.9149834859638921,68.59199386210416,1.4178820481926022e-85,6.859199386210416,0.2740026134435461,0.29032745284126754,1.948279922547955e-18,0.0,1.0,1.90736605731764,1.8632155958730827,1.95936538834497,B,quadratic,N2,adamw,F3,floor,0.0,0.0,,2.590240149274736e-83
100,0.1631573478234521,1.45598649877295,64.3053295313741,7.343695237187874e-83,6.430532953137409,0.1581229350045808,0.16819176064232338,1.948279922547955e-18,0.0,1.0,1.4395475536182072,1.4011949216346617,1.4869036588024844,A,quadratic,N1,clipped_sgd,F2,floor,1.0,1.0,,1.3292088379310052e-80
100,0.1631573478234521,1.45598649877295,64.3053295313741,7.343695237187874e-83,6.430532953137409,0.1581229350045808,0.16819176064232338,1.948279922547955e-18,0.0,1.0,1.4395475536182072,1.4011949216346617,1.4869036588024844,A,quadratic,N1,sgd,F2,floor,1.0,1.0,,1.3292088379310052e-80
100,1.367773715764554,23.322425569988013,61.05202599778226,1.1057945044019557e-80,6.105202599778226,1.323320485125711,1.412226946403397,1.948279922547955e-18,0.0,1.0,22.175848805506355,19.949596611750465,24.48419126983577,A,ar,N3,sgd,F4,floor,1.0,1.0,,1.9793721628795008e-78
100,0.14995725127904377,1.4123985117681723,59.13381115058532,2.3985811290460333e-79,5.913381115058532,0.14492548156557453,0.15498902099251302,1.948279922547955e-18,0.0,1.0,1.39856138302325,1.3709012648785865,1.4279530140113095,B,ar,N2,adamw,F1,floor,1.0,1.0,,4.2694744097019394e-77
100,0.1499642093120348,1.4124211406400022,59.133054665688,2.401537923383095e-79,5.9133054665688,0.14493214174984279,0.15499627687422682,1.948279922547955e-18,0.0,1.0,1.39859470859121,1.3709403980064274,1.428021117441105,B,ar,N2,adam,F1,floor,1.0,1.0,,4.2694744097019394e-77
100,0.3902228625573852,2.4559688973766023,56.161383092278946,3.4181079101783846e-77,5.616138309227894,0.37643604364161215,0.40400968147315824,1.948279922547955e-18,0.0,1.0,2.4822229294779734,2.3655018886753374,2.594247256575011,A,quadratic,N1,clipped_sgd,F3,floor,1.0,1.0,,6.015869921913957e-75
100,0.3902228625573852,2.4559688973766023,56.161383092278946,3.4181079101783846e-77,5.616138309227894,0.37643604364161215,0.40400968147315824,1.948279922547955e-18,0.0,1.0,2.4822229294779734,2.3655018886753374,2.594247256575011,A,quadratic,N1,sgd,F3,floor,1.0,1.0,,6.015869921913957e-75
100,0.14590346541123453,1.3992762581279616,54.871859983439464,3.1748875558624716e-76,5.487185998343946,0.14062746183781447,0.1511794689846546,1.948279922547955e-18,0.0,1.0,1.3780459192399237,1.3397729111394783,1.4387634550161432,A,ar,N1,clipped_sgd,F1,floor,1.0,1.0,,5.524304347200701e-74
100,0.14590346541123453,1.3992762581279616,54.871859983439464,3.1748875558624716e-76,5.487185998343946,0.14062746183781447,0.1511794689846546,1.948279922547955e-18,0.0,1.0,1.3780459192399237,1.3397729111394783,1.4387634550161432,A,ar,N1,sgd,F1,floor,1.0,1.0,,5.524304347200701e-74
100,0.12860130375806755,1.3446253781124933,53.73220869865006,2.371836556409226e-75,5.373220869865006,0.12385232929595344,0.13335027822018167,1.948279922547955e-18,0.0,1.0,1.3373839335671074,1.3210048970624793,1.3688480249084234,A,ar,N1,normalized_sgd,F1,floor,1.0,1.0,,4.0795588770238684e-73
100,0.38903509399593006,2.4492611510784323,50.21333357651111,1.531474777915083e-72,5.021333357651112,0.37366208501093023,0.4044081029809299,1.948279922547955e-18,0.0,1.0,2.356247151340566,2.2627501080291554,2.5270694024605116,B,ar,N2,adam,F2,floor,1.0,1.0,,2.618821870234792e-70
100,0.3890261305264663,2.449210600928941,50.21267503209406,1.533390038243671e-72,5.0212675032094065,0.37365327412562593,0.40439898692730664,1.948279922547955e-18,0.0,1.0,2.356163914448279,2.2627393693970044,2.5270057786544826,B,ar,N2,adamw,F2,floor,1.0,1.0,,2.618821870234792e-70
100,0.5083166810460408,3.223418403056681,50.10767123657339,1.8719047406686344e-72,5.010767123657339,0.4881878155375195,0.5284455465545621,1.948279922547955e-18,0.0,1.0,3.1563798761692694,2.9581465400287215,3.3225495860736487,A,logistic,N3,clipped_sgd,F4,floor,0.96,1.0,,3.1635190117299924e-70
100,2.157503468849347,143.7154532324831,47.59673228105454,2.4854564586748487e-70,4.759673228105454,2.06756126587308,2.247445671825614,1.948279922547955e-18,0.0,1.0,160.74960351421075,119.45352404197278,199.11761071311454,A,logistic,N3,sgd,F4,floor,0.0,1.0,,4.1755668505737454e-68
100,0.8099781828757756,6.456217949022981,46.7470699029093,1.3714873475493607e-69,4.674706990290931,0.775598007943907,0.8443583578076442,1.948279922547955e-18,0.0,1.0,6.798380919082655,5.997114101405253,7.236958355502551,A,ar,N1,clipped_sgd,F3,floor,1.0,1.0,,2.2903838704074324e-67
100,0.8099781828757756,6.456217949022981,46.7470699029093,1.3714873475493607e-69,4.674706990290931,0.775598007943907,0.8443583578076442,1.948279922547955e-18,0.0,1.0,6.798380919082655,5.997114101405253,7.236958355502551,A,ar,N1,sgd,F3,floor,1.0,1.0,,2.2903838704074324e-67
100,0.5397417625286131,3.4653073723785264,45.73750440970084,1.0833515811280577e-68,4.573750440970084,0.5163263014432614,0.5631572236139647,1.948279922547955e-18,0.0,1.0,3.340458557951274,3.1910062791713947,3.505882439659662,B,ar,N2,adamw,F3,floor,1.0,1.0,,1.7875301088612954e-66
100,0.5398424421816892,3.466110805076138,45.73399072527225,1.0912512799072844e-68,4.573399072527225,0.5164208140243013,0.5632640703390771,1.948279922547955e-18,0.0,1.0,3.354681961939887,3.1904967852985364,3.506098925108717,B,ar,N2,adam,F3,floor,1.0,1.0,,1.7896520990479464e-66
100,0.031044416262692578,1.0740992572443322,37.262871811528434,2.3102264886379157e-60,3.7262871811528435,0.02939132690045322,0.032697505624931934,1.948279922547955e-18,0.0,1.0,1.069466422030363,1.0624088883083078,1.087033370620954,A,quadratic,N1,clipped_sgd,F1,floor,1.0,1.0,,3.7656691764798026e-58
100,0.031044416262692578,1.0740992572443322,37.262871811528434,2.3102264886379157e-60,3.7262871811528435,0.02939132690045322,0.032697505624931934,1.948279922547955e-18,0.0,1.0,1.069466422030363,1.0624088883083078,1.087033370620954,A,quadratic,N1,sgd,F1,floor,1.0,1.0,,3.7656691764798026e-58
100,0.18964026450682603,1.5475342318651306,32.14259330149742,1.7267155964797237e-54,3.2142593301497424,0.17793344844523884,0.20134708056841322,1.948279922547955e-18,0.0,1.0,1.5656550189288676,1.4757102351338245,1.6176964493921544,A,ar,N2,normalized_sgd,F2,floor,1.0,1.0,,2.780012110332355e-52
100,0.2362308095294773,1.7227839200295239,28.1200564563777,2.6457593032349746e-49,2.81200564563777,0.21956181110608694,0.25289980795286765,1.948279922547955e-18,0.0,1.0,1.7328691760806727,1.6218069509328341,1.8472008403112976,A,ar,N2,normalized_sgd,F3,floor,1.0,1.0,,4.2332148851759594e-47
100,0.07966829170143823,1.2013465117656474,26.90021327649551,1.2906062450589287e-47,2.6900213276495513,0.07379178904077507,0.08554479436210138,1.948279922547955e-18,0.0,1.0,1.2084631578356193,1.1579437976764424,1.2368875208946932,A,quadratic,N2,clipped_sgd,F3,floor,0.0,0.0,,2.0520639296436966e-45
100,0.07966829170143823,1.2013465117656474,26.90021327649551,1.2906062450589287e-47,2.6900213276495513,0.07379178904077507,0.08554479436210138,1.948279922547955e-18,0.0,1.0,1.2084631578356193,1.1579437976764424,1.2368875208946932,A,quadratic,N2,sgd,F3,floor,0.0,0.0,,2.0520639296436966e-45
100,0.23848691477361314,1.731756852394676,26.238152930791273,1.1264559891885318e-46,2.623815293079127,0.22045173599197398,0.2565220935552523,2.133161365359117e-18,0.0,1.0,1.7429804929801014,1.6538067670716845,1.8442857891063915,A,ar,N1,normalized_sgd,F3,floor,1.0,1.0,,1.768535903025995e-44
100,0.15195533788808777,1.4189115957108738,23.817116233623782,4.465982654887076e-43,2.3817116233623783,0.1392958557596799,0.16461482001649563,2.0696869543572095e-18,0.0,1.0,1.3763656918049543,1.3187470713441556,1.5081572868673854,A,quadratic,N3,sgd,F3,floor,0.02,0.02,,6.966932941623839e-41
100,0.277610999531083,1.8950077896732371,22.356252966039378,8.888135947508285e-41,2.235625296603938,0.2529717877619369,0.30225021130022905,1.948279922547955e-18,0.0,1.0,1.7953289389007663,1.682254155039992,2.103994724631696,A,ar,N3,sgd,F3,floor,1.0,1.0,,1.3776610718637844e-38
