n,mean_log_diff,speedup,t_stat,p_one_sided,cohen_d,ci_lo,ci_hi,wilcoxon_p,boot_ratio,boot_ratio_lo,boot_ratio_hi,domain,filter,optimizer,metric,conv_F0,conv_Fk,floor_ratio,perm_p,power
16,1.4536523711177427,28.421851835405743,19.169975708459425,2.9129472317486763e-12,4.792493927114856,1.292025317805783,1.6152794244297024,,47.90419161676647,10.074074074074074,49.079754601226995,financial_15m,F1,adam,t_conv,0.4375,1.0,,,
16,1.6289962954374426,42.55947827647492,16.518230254168035,2.470437077226339e-11,4.129557563542009,1.4187968152145636,1.8391957756603217,,77.66990291262135,16.0,93.02325581395348,financial_15m,F2,adam,t_conv,0.4375,1.0,,,
16,1.366989958351553,23.28037428743229,19.823128412813755,1.794225147866676e-12,4.955782103203439,1.220006593020117,1.513973323682989,,45.19774011299435,10.136645962732919,46.24277456647399,financial_15m,F4,adam,t_conv,0.4375,1.0,,,
16,0.5112000961634809,,13.371065895138052,4.861629181157841e-10,3.342766473784513,0.4297109148818503,0.5926892774451116,1.52587890625e-05,,,,financial_15m,F1,sgd,final_grad,,,3.2448908751039425,5e-05,1.0
16,1.082976985721789,,29.385265909622763,5.643811051501195e-15,7.346316477405691,1.0044236450384907,1.1615303264050874,1.52587890625e-05,,,,financial_15m,F2,sgd,final_grad,,,12.105339828296918,5e-05,1.0
16,0.805693490570222,,11.78070751615379,2.7798521257008883e-09,2.9451768790384474,0.6599216834031875,0.9514652977372565,1.52587890625e-05,,,,financial_15m,F4,sgd,final_grad,,,6.392834929275621,5e-05,1.0
32,0.7329744844006112,5.407225535680372,5.233161135560582,5.502830716363993e-06,0.9251009314991953,0.4473132410190076,1.0186357277822147,,6.556213017751479,1.0232558139534884,21.978900709219857,financial_daily,F1,adam,t_conv,0.8125,1.0,,,
32,0.85892498316018,7.226449684353928,5.413548210353154,3.2800873371296425e-06,0.9569891624552533,0.5353314758093483,1.1825184905110118,,9.805309734513274,1.5517241379310345,31.89,financial_daily,F2,adam,t_conv,0.8125,1.0,,,
32,0.45009195897754006,2.8189797683525866,2.747818589672314,0.004954112504588039,0.4857502895569371,0.11602019532480784,0.7841637226302722,,3.8606271777003482,0.5176470588235295,14.371359624931024,financial_daily,F4,adam,t_conv,0.8125,1.0,,,
32,0.5042451792254075,,20.249531719594252,9.844805051790104e-20,3.5796452986942966,0.4534580875754978,0.555032270875317,2.3283064365386963e-10,,,,financial_daily,F1,sgd,final_grad,,,3.193340133811747,0.0,1.0
32,1.0118530164169808,,27.609133561392326,1.083874395452533e-23,4.880651390986402,0.9371064537198815,1.08659957911408,2.3283064365386963e-10,,,,financial_daily,F2,sgd,final_grad,,,10.276684328909834,0.0,1.0
32,0.8511697375912224,,23.785341455447785,8.995012272746544e-22,4.204694058996159,0.7781847805228262,0.9241546946596185,2.3283064365386963e-10,,,,financial_daily,F4,sgd,final_grad,,,7.098551501676279,0.0,1.0
24,-0.003531549844989675,0.9919012787602388,-2.1447610589527213,0.9786170213049346,-0.43779751788545657,-0.006937788238267552,-0.00012531145171179852,,1.0,1.0,1.0,macro_fred,F1,adam,t_conv,1.0,1.0,,,
24,-0.004414437306237094,0.9898868675996247,-2.4602096615832094,0.989088865067483,-0.5021881942620121,-0.008126299539713748,-0.0007025750727604405,,1.0,1.0,1.0,macro_fred,F2,adam,t_conv,1.0,1.0,,,
24,-0.0017657749224948376,0.9959424073510671,-1.4459976109624424,0.9191659717553716,-0.2951630263451236,-0.004291908924386292,0.000760359079396617,,1.0,1.0,1.0,macro_fred,F4,adam,t_conv,1.0,1.0,,,
24,0.05029445762754303,,0.8947102479596679,0.19010496058536386,0.1826319645950167,-0.06599124801892331,0.16658016327400937,0.33172178268432617,,,,macro_fred,F1,sgd,final_grad,,,1.1227794561903808,0.1885,0.21877047067486782
24,0.4465360247425166,,4.679361925907433,5.1752365826920265e-05,0.9551707533566995,0.24913087409673915,0.643941175388294,1.7881393432617188e-07,,,,macro_fred,F2,sgd,final_grad,,,2.795992645649981,0.0,0.9980820498998301
24,-0.018002249019983096,,-0.6755853777324757,0.7469798626677105,-0.13790328776083322,-0.07312554012027325,0.037121042080307066,0.7364704608917236,,,,macro_fred,F4,sgd,final_grad,,,0.9593956632151716,0.7457,0.16132976656663736
8,0.26957585427778463,1.8602694512401687,2.5891935068142127,0.017993517241448827,0.9154181432362535,0.023381199072807002,0.5157705094827623,,2.15,0.975609756097561,3.7,nonfinancial_ett,F1,adam,t_conv,1.0,1.0,,,
8,0.26162986712655784,1.826542858730668,2.535826276157153,0.019450212973402072,0.8965499778908766,0.01766349822924443,0.5055962360238713,,2.0476190476190474,0.9523809523809523,3.5238095238095237,nonfinancial_ett,F2,adam,t_conv,1.0,1.0,,,
8,-0.026545344336423332,0.9407076063868264,-2.414021183319636,0.9767507070128212,-0.8534853743266441,-0.05254750430855335,-0.0005431843642933129,,0.9052631578947369,0.8461538461538461,1.0,nonfinancial_ett,F4,adam,t_conv,1.0,1.0,,,
8,-0.24708116886770248,,-2.297724832526673,0.972412112599243,-0.8123684051901673,-0.5013562307662116,0.007193893030806642,0.98046875,,,,nonfinancial_ett,F1,sgd,final_grad,,,0.5661334698093485,0.984375,0.6641887022604085
8,0.40424925577648346,,4.385053326782863,0.0016073299982557767,1.5503504716163958,0.18625929700927485,0.6222392145436921,0.00390625,,,,nonfinancial_ett,F2,sgd,final_grad,,,2.536584041167456,0.00390625,0.9884625420268159
8,-0.09318779266671656,,-0.7401986000358853,0.7583693508949229,-0.2616997247550818,-0.3908837278946882,0.2045081425612551,0.7265625,,,,nonfinancial_ett,F4,sgd,final_grad,,,0.8068860503400034,0.75,0.1649379895581785
