noise,filter,delta_snr_db
N1 Gauss,F0,0.0
N1 Gauss,F1,11.939615532437546
N1 Gauss,F2,11.95706712411849
N1 Gauss,F3,11.828826927095552
N1 Gauss,F4,11.335614554863533
N1 Gauss,F5,12.39846561834799
N1 Gauss,F6,11.8137794970857
N1 Gauss,F7,11.248536285303318
N1 Gauss,F8,12.652945544276387
N1 Gauss,F9,15.736439767131028
N2 Pink (1/f),F0,0.0
N2 Pink (1/f),F1,5.827611707138703
N2 Pink (1/f),F2,9.276794211862653
N2 Pink (1/f),F3,9.93640144017462
N2 Pink (1/f),F4,5.77414417685691
N2 Pink (1/f),F5,6.102362798613008
N2 Pink (1/f),F6,9.972401861293678
N2 Pink (1/f),F7,5.847584629314147
N2 Pink (1/f),F8,7.8426003781468
N2 Pink (1/f),F9,8.645732486458883
N3 α-stable,F0,0.0
N3 α-stable,F1,12.809372616843683
N3 α-stable,F2,19.072642121279717
N3 α-stable,F3,6.07417510168194
N3 α-stable,F4,17.838675805693224
N3 α-stable,F5,16.8497755506959
N3 α-stable,F6,7.148228519187837
N3 α-stable,F7,18.272574758561582
N3 α-stable,F8,18.272574758561582
N3 α-stable,F9,22.650887478624835
N4 Mixed,F0,0.0
N4 Mixed,F1,7.153343069239395
N4 Mixed,F2,12.667990516917436
N4 Mixed,F3,5.439263188522409
N4 Mixed,F4,9.613260963843947
N4 Mixed,F5,9.595917359946451
N4 Mixed,F6,6.385524916567856
N4 Mixed,F7,8.620461495049192
N4 Mixed,F8,8.620461495049192
N4 Mixed,F9,15.143633454802721
N5 Regime-switch,F0,0.0
N5 Regime-switch,F1,12.720599929880994
N5 Regime-switch,F2,18.20553624881528
N5 Regime-switch,F3,5.771066885248752
N5 Regime-switch,F4,18.47223083658139
N5 Regime-switch,F5,16.489464959240276
N5 Regime-switch,F6,6.824371501666417
N5 Regime-switch,F7,18.45601265208991
N5 Regime-switch,F8,18.45601265208991
N5 Regime-switch,F9,22.761420476913514
N6 Jump-diffusion,F0,0.0
N6 Jump-diffusion,F1,11.940879095864046
N6 Jump-diffusion,F2,12.314262578162545
N6 Jump-diffusion,F3,7.154446735987548
N6 Jump-diffusion,F4,15.872065477364142
N6 Jump-diffusion,F5,14.677783769471805
N6 Jump-diffusion,F6,7.476978856734739
N6 Jump-diffusion,F7,15.242935426920681
N6 Jump-diffusion,F8,15.035949179146124
N6 Jump-diffusion,F9,18.732426871697207
