regime,gamma,day,filter,rv_est,iv_true,rel_err
gauss,0.5,0,F0 raw,0.0006225118724533776,0.00039100907445702225,0.5920650264136031
gauss,0.5,0,F1 MA,8.620371171216696e-05,0.00039100907445702225,0.7795352656920447
gauss,0.5,0,F2 Kalman,1.8729995615201454e-05,0.00039100907445702225,0.9520983096333224
gauss,0.5,0,F3 Wavelet,3.528510070974154e-05,0.00039100907445702225,0.9097588700243325
gauss,0.5,0,F4 Median,0.00014047926703940686,0.00039100907445702225,0.6407263252534882
gauss,0.5,0,FA online,9.057476946374305e-05,0.00039100907445702225,0.7683563493007921
gauss,0.5,1,F0 raw,0.0005385881277357086,0.00033642600177481827,0.6009111212997281
gauss,0.5,1,F1 MA,9.145700504237586e-05,0.00033642600177481827,0.7281511994914375
gauss,0.5,1,F2 Kalman,2.984905495349336e-05,0.00033642600177481827,0.9112760167287178
gauss,0.5,1,F3 Wavelet,4.443462774008208e-05,0.00033642600177481827,0.8679215414216891
gauss,0.5,1,F4 Median,0.00015498251167591959,0.00033642600177481827,0.5393265952741226
gauss,0.5,1,FA online,9.585355459201662e-05,0.00033642600177481827,0.7150827995269677
gauss,0.5,2,F0 raw,0.0006371721125867521,0.000437683981017219,0.455781203383098
gauss,0.5,2,F1 MA,8.972040327578402e-05,0.000437683981017219,0.7950109961363783
gauss,0.5,2,F2 Kalman,2.379387733154562e-05,0.000437683981017219,0.9456368558971557
gauss,0.5,2,F3 Wavelet,4.035332365276802e-05,0.000437683981017219,0.9078026032413088
gauss,0.5,2,F4 Median,0.00016111799472348355,0.000437683981017219,0.6318851004118768
gauss,0.5,2,FA online,9.25016020829602e-05,0.000437683981017219,0.7886566424752907
gauss,0.5,3,F0 raw,0.0006259136913321416,0.00036006622721754375,0.7383293517111198
gauss,0.5,3,F1 MA,7.635524263669283e-05,0.00036006622721754375,0.7879411150922502
gauss,0.5,3,F2 Kalman,1.693140836857873e-05,0.00036006622721754375,0.9529769606568818
gauss,0.5,3,F3 Wavelet,2.03753428975804e-05,0.00036006622721754375,0.9434122354239292
gauss,0.5,3,F4 Median,0.0001324738152494631,0.00036006622721754375,0.6320848631842789
gauss,0.5,3,FA online,7.259971920143773e-05,0.00036006622721754375,0.7983712058682619
gauss,0.5,4,F0 raw,0.0005765575209768666,0.00040095309393693625,0.43796750716070093
gauss,0.5,4,F1 MA,8.434434578705131e-05,0.00040095309393693625,0.7896403667599149
gauss,0.5,4,F2 Kalman,1.808454470181898e-05,0.00040095309393693625,0.9548961088584007
gauss,0.5,4,F3 Wavelet,3.971684216687178e-05,0.00040095309393693625,0.9009439189584639
gauss,0.5,4,F4 Median,0.00015087672887988165,0.00040095309393693625,0.6237047895093378
gauss,0.5,4,FA online,8.701604700265319e-05,0.00040095309393693625,0.7829769907790275
gauss,0.5,5,F0 raw,0.0006323180412319631,0.0003895503286859937,0.6231998657653762
gauss,0.5,5,F1 MA,9.115879084644287e-05,0.0003895503286859937,0.7659896959811744
gauss,0.5,5,F2 Kalman,1.856570645046118e-05,0.0003895503286859937,0.95234067312153
gauss,0.5,5,F3 Wavelet,2.6610309713474452e-05,0.0003895503286859937,0.9316896745967724
gauss,0.5,5,F4 Median,0.0001573916487149463,0.0003895503286859937,0.5959658171876026
gauss,0.5,5,FA online,9.158105320137798e-05,0.0003895503286859937,0.7649057221687032
gauss,0.5,6,F0 raw,0.0005855295680186731,0.0003638283366117263,0.6093566913221056
gauss,0.5,6,F1 MA,7.88843070458488e-05,0.0003638283366117263,0.7831826190876571
gauss,0.5,6,F2 Kalman,2.3935571609429454e-05,0.0003638283366117263,0.9342119092967374
gauss,0.5,6,F3 Wavelet,2.6832827602887395e-05,0.0003638283366117263,0.9262486593189054
gauss,0.5,6,F4 Median,0.00013360972285449577,0.0003638283366117263,0.6327671338115628
gauss,0.5,6,FA online,8.64052739823684e-05,0.0003638283366117263,0.7625108731578014
gauss,0.5,7,F0 raw,0.0005580633559415013,0.0003575553702532181,0.5607746446271664
gauss,0.5,7,F1 MA,8.008804738907747e-05,0.0003575553702532181,0.776012181463364
gauss,0.5,7,F2 Kalman,2.17121655495606e-05,0.0003575553702532181,0.9392760748239238
gauss,0.5,7,F3 Wavelet,3.448027480747182e-05,0.0003575553702532181,0.9035666146391449
gauss,0.5,7,F4 Median,0.00012687365837256548,0.0003575553702532181,0.6451636056180208
gauss,0.5,7,FA online,9.244531108946942e-05,0.0003575553702532181,0.7414517616558232
gauss,0.5,8,F0 raw,0.0005732531565295995,0.00038357772372237225,0.4944902195220061
gauss,0.5,8,F1 MA,9.054844223662918e-05,0.00038357772372237225,0.7639371719558804
gauss,0.5,8,F2 Kalman,2.207093750899921e-05,0.00038357772372237225,0.9424603251335476
gauss,0.5,8,F3 Wavelet,4.350671530695231e-05,0.00038357772372237225,0.8865765329520496
gauss,0.5,8,F4 Median,0.00014617672517469528,0.00038357772372237225,0.618912371249964
gauss,0.5,8,FA online,9.079803183021004e-05,0.00038357772372237225,0.7632864835082857
gauss,0.5,9,F0 raw,0.0006093414134281927,0.0004139357766486519,0.4720675230384854
gauss,0.5,9,F1 MA,9.723945150838707e-05,0.0004139357766486519,0.7650856558095394
gauss,0.5,9,F2 Kalman,2.7745452455175888e-05,0.0004139357766486519,0.9329716008608596
gauss,0.5,9,F3 Wavelet,4.281397782429186e-05,0.0004139357766486519,0.8965685494234718
gauss,0.5,9,F4 Median,0.00015895488335475208,0.0004139357766486519,0.6159914355755899
gauss,0.5,9,FA online,0.00011376272376532554,0.0004139357766486519,0.7251681778115855
gauss,0.5,10,F0 raw,0.0005322098348287086,0.0003708966893151232,0.43492743440621456
gauss,0.5,10,F1 MA,8.661749802506266e-05,0.0003708966893151232,0.7664646233833857
gauss,0.5,10,F2 Kalman,2.3902668508473468e-05,0.0003708966893151232,0.9355543761994458
gauss,0.5,10,F3 Wavelet,3.3199571577748367e-05,0.0003708966893151232,0.910488358256708
gauss,0.5,10,F4 Median,0.0001446325525460618,0.0003708966893151232,0.6100462562415101
gauss,0.5,10,FA online,9.595594173676835e-05,0.0003708966893151232,0.7412866048657508
gauss,0.5,11,F0 raw,0.0005719665775989762,0.00034476819442087487,0.6589888129319419
gauss,0.5,11,F1 MA,7.829455348078613e-05,0.00034476819442087487,0.7729066812201121
gauss,0.5,11,F2 Kalman,2.3024891890874796e-05,0.00034476819442087487,0.9332163109490105
gauss,0.5,11,F3 Wavelet,3.149446340719989e-05,0.00034476819442087487,0.9086503223996553
gauss,0.5,11,F4 Median,0.00013525078738352525,0.00034476819442087487,0.6077051492214557
gauss,0.5,11,FA online,8.602796606351336e-05,0.00034476819442087487,0.7504759213418191
gauss,0.5,12,F0 raw,0.0005434215960441857,0.00036978786869288564,0.46954955003000776
gauss,0.5,12,F1 MA,7.686234735170081e-05,0.00036978786869288564,0.7921447568753638
