domain,model,optimizer,filter,n_cells,causal,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0,bucket
atm_withdrawals,classification,adam,F0,4,1,64.5,1.0,0.00013734457853949592,-0.010493396228594798,-3.807709065599906,0.8271513353115727,1.7651998714652959,0.0766778240174895,1.0,1.0,heavy_short
atm_withdrawals,classification,adam,F1,4,1,303.0,1.0,5.2969630627424454e-05,-1.7311983833981448,-3.7571373734647784,0.8249258160237388,1.7651998714652959,0.0766778240174895,0.21287128712871287,2.592892888106855,heavy_short
atm_withdrawals,classification,adam,F2,4,1,453.5,1.0,2.7699349183439928e-05,-1.8649285046143882,-3.9288756710969377,0.8160237388724035,1.7651998714652959,0.0766778240174895,0.1422271223814774,4.9584045325370845,heavy_short
atm_withdrawals,classification,adam,F3,4,0,494.5,1.0,3.059680413107346e-05,-1.9750324184378385,-3.8741108622670795,0.8427299703264095,1.7651998714652959,0.0766778240174895,0.13043478260869565,4.488853736198275,heavy_short
atm_withdrawals,classification,adam,F4,4,1,278.0,1.0,2.21360755594828e-05,-1.887919754864769,-3.9899497930597123,0.8293768545994066,1.7651998714652959,0.0766778240174895,0.23201438848920863,6.204558625147055,heavy_short
atm_withdrawals,classification,adam,F5,4,1,442.5,1.0,2.9505765513788873e-05,-1.8915289322321822,-3.900925268496737,0.8160237388724035,1.7651998714652959,0.0766778240174895,0.14576271186440679,4.6548386780648325,heavy_short
atm_withdrawals,classification,adam,F6,4,1,279.5,1.0,3.234733372328813e-05,-0.3936502958903988,-4.143362287550333,0.8234421364985163,1.7651998714652959,0.0766778240174895,0.23076923076923078,4.245931974313423,heavy_short
atm_withdrawals,classification,adam,F7,4,1,301.5,1.0,1.4148609072554291e-05,-2.5988357101858224,-4.127558565881384,0.8308605341246291,1.7651998714652959,0.0766778240174895,0.21393034825870647,9.707284852891952,heavy_short
atm_withdrawals,classification,sgd,F0,4,1,716.0,1.0,8.611999683052092e-06,-2.014020216540067,-4.175900344664307,0.8286350148367954,1.7651998714652959,0.0766778240174895,1.0,1.0,heavy_short
atm_withdrawals,classification,sgd,F1,4,1,3017.5,1.0,0.001196763108672532,-1.5402034986612905,-2.3754339626360714,0.8189910979228486,1.7651998714652959,0.0766778240174895,0.23728251864125932,0.007196077169026922,heavy_short
atm_withdrawals,classification,sgd,F2,4,1,4000.0,0.0,0.0019025944245987267,-1.4389093816885086,-2.2356045687901362,0.8160237388724035,1.7651998714652959,0.0766778240174895,0.179,0.004526450604346976,heavy_short
atm_withdrawals,classification,sgd,F3,4,0,4000.0,0.0,0.0020431357281858386,-1.39263226104458,-2.2128803549937484,0.8427299703264095,1.7651998714652959,0.0766778240174895,0.179,0.004215089366920789,heavy_short
atm_withdrawals,classification,sgd,F4,4,1,2337.0,1.0,0.001055556079433661,-1.177272413467754,-2.4834584236501396,0.8338278931750742,1.7651998714652959,0.0766778240174895,0.30637569533590076,0.008158732492614415,heavy_short
atm_withdrawals,classification,sgd,F5,4,1,4000.0,0.0,0.001907097085675275,-1.4149662259455202,-2.235565459883707,0.814540059347181,1.7651998714652959,0.0766778240174895,0.179,0.004515763642941497,heavy_short
atm_withdrawals,classification,sgd,F6,4,1,2187.0,1.0,0.0005826231262423411,-1.837390511144588,-2.6815613302187877,0.8345697329376855,1.7651998714652959,0.0766778240174895,0.3273891175125743,0.014781424380792508,heavy_short
atm_withdrawals,classification,sgd,F7,4,1,2493.5,1.0,0.0010230183176957062,-1.1768835638374329,-2.5063026177069676,0.8338278931750742,1.7651998714652959,0.0766778240174895,0.2871465811108883,0.008418226276192355,heavy_short
atm_withdrawals,regression,adam,F0,4,1,34.5,1.0,0.0013765749199772838,0.21956793175395117,-2.8765845051331955,0.6263013375874045,1.7651998714652959,0.0766778240174895,1.0,1.0,heavy_short
atm_withdrawals,regression,adam,F1,4,1,20.0,1.0,0.0002603532856431756,-0.33479307972131656,-3.5740418444062154,0.6393735674568186,1.7651998714652959,0.0766778240174895,1.725,5.28733454074374,heavy_short
atm_withdrawals,regression,adam,F2,4,1,20.5,1.0,0.0001307328251007657,-0.5971784082694914,-3.887055804008414,0.6632760682176558,1.7651998714652959,0.0766778240174895,1.6829268292682926,10.529680812116261,heavy_short
atm_withdrawals,regression,adam,F3,4,0,21.0,1.0,0.00011592224765733598,-0.6441345593614444,-3.908054460561128,0.571090060784301,1.7651998714652959,0.0766778240174895,1.6428571428571428,11.87498472291888,heavy_short
atm_withdrawals,regression,adam,F4,4,1,69.0,1.0,0.00037382956954851366,0.24718208585677673,-3.3549761290895934,0.6182417434438819,1.7651998714652959,0.0766778240174895,0.5,3.6823596422289944,heavy_short
atm_withdrawals,regression,adam,F5,4,1,20.0,1.0,0.0001494872670585508,-0.6558455545784813,-3.856260709056105,0.6780461343419585,1.7651998714652959,0.0766778240174895,1.725,9.208643298282457,heavy_short
