data,ticker,filter,optimizer,t_conv,final_grad,steps
daily,AAPL,F0,sgd,4000,1.2469195038105941e-09,4000
daily,AAPL,F0,adam,59,1.677792829070769e-17,4000
daily,AAPL,F0,adamw,59,1.2743734735837933e-18,4000
daily,AAPL,F1,sgd,4000,9.815799610887018e-09,4000
daily,AAPL,F1,adam,162,4.0085038301796914e-41,4000
daily,AAPL,F1,adamw,162,8.259765012373122e-21,4000
daily,AAPL,F2,sgd,4000,2.66314075489257e-10,4000
daily,AAPL,F2,adam,118,1.637664538036331e-42,4000
daily,AAPL,F2,adamw,118,9.23065884171589e-23,4000
daily,AAPL,F3,sgd,4000,2.124604028230551e-10,4000
daily,AAPL,F3,adam,66,2.5505204866375282e-42,4000
daily,AAPL,F3,adamw,66,1.2917685012365764e-22,4000
daily,AAPL,F4,sgd,4000,1.7671949328374921e-09,4000
daily,AAPL,F4,adam,121,1.2456584864796915e-41,4000
daily,AAPL,F4,adamw,121,1.3998087236348484e-21,4000
daily,AAPL,FA,sgd,4000,8.215072718538254e-10,4000
daily,AAPL,FA,adam,74,3.4398150865810768e-43,4000
daily,AAPL,FA,adamw,74,1.4933478467581546e-22,4000
daily,BTC-USD,F0,sgd,4000,2.1634251957989764e-08,4000
daily,BTC-USD,F0,adam,38,1.2647803412385843e-15,4000
daily,BTC-USD,F0,adamw,38,5.1930933420423296e-23,4000
daily,BTC-USD,F1,sgd,4000,2.5117188585691073e-07,4000
daily,BTC-USD,F1,adam,163,1.4995882446177556e-40,4000
daily,BTC-USD,F1,adamw,163,2.135033310548292e-19,4000
daily,BTC-USD,F2,sgd,4000,1.016789493066887e-08,4000
daily,BTC-USD,F2,adam,134,2.5245874034248526e-39,4000
daily,BTC-USD,F2,adamw,134,3.640214289130673e-21,4000
daily,BTC-USD,F3,sgd,4000,1.7841001012468752e-09,4000
daily,BTC-USD,F3,adam,57,1.8451316022875852e-41,4000
daily,BTC-USD,F3,adamw,57,5.022689533617563e-22,4000
daily,BTC-USD,F4,sgd,4000,1.2696810241647276e-07,4000
daily,BTC-USD,F4,adam,110,4.304962781522096e-40,4000
daily,BTC-USD,F4,adamw,110,6.16307794778072e-20,4000
daily,BTC-USD,FA,sgd,4000,7.133556662139987e-08,4000
daily,BTC-USD,FA,adam,110,5.767710511795077e-41,4000
daily,BTC-USD,FA,adamw,110,2.549927088223511e-20,4000
daily,ETH-USD,F0,sgd,4000,5.9096372007538416e-08,4000
daily,ETH-USD,F0,adam,50,3.031429235549053e-22,4000
daily,ETH-USD,F0,adamw,50,1.2645588733682985e-22,4000
daily,ETH-USD,F1,sgd,4000,7.111521594369117e-07,4000
daily,ETH-USD,F1,adam,160,3.2637701537515468e-40,4000
daily,ETH-USD,F1,adamw,160,6.152901484114213e-19,4000
daily,ETH-USD,F2,sgd,4000,2.993519377093809e-08,4000
daily,ETH-USD,F2,adam,110,3.423642647252783e-39,4000
daily,ETH-USD,F2,adamw,110,8.391335320591122e-21,4000
daily,ETH-USD,F3,sgd,4000,4.455559271901179e-09,4000
daily,ETH-USD,F3,adam,75,1.2545403327352253e-40,4000
daily,ETH-USD,F3,adamw,75,2.637035833456231e-21,4000
