domain,series,n,alpha_hat,hurst_abs,d_hat
financial_daily,AAPL,2919,1.0878043150831236,0.7702534612215183,0.2702534612215183
financial_daily,BTC-USD,2919,1.3590797935571277,0.7946490820992973,0.2946490820992973
financial_daily,ETH-USD,2919,1.4073825060620706,0.7344465642375345,0.23444656423753452
financial_daily,EURUSD=X,2919,1.1861283436684165,0.6927357103037367,0.1927357103037367
financial_daily,GBPUSD=X,2919,1.2433644293669812,0.7036736404344007,0.20367364043440073
financial_daily,JPM,2919,1.1154723155621493,0.7912974029730656,0.2912974029730656
financial_daily,JPY=X,2919,1.1603747000852924,0.7100650738253951,0.21006507382539508
financial_daily,MSFT,2919,1.0898128028547718,0.767076396712301,0.267076396712301
financial_daily,QQQ,2919,1.0654704776897552,0.8219833385640658,0.3219833385640658
financial_daily,SPY,2919,1.051398647232912,0.8617990195577837,0.3617990195577837
financial_5m,AAPL,22387,,0.9388149777546806,0.4388149777546806
financial_5m,BTC-USD,17186,1.4137939035841245,0.8505985253137275,0.3505985253137275
financial_5m,ETH-USD,17186,1.3887388851760976,0.840967468329826,0.34096746832982605
financial_5m,EURUSD=X,22309,1.5549240651517704,0.9597999877016489,0.45979998770164887
nonfinancial_ett,OT,17419,1.468131939846192,0.7277527350330084,0.2277527350330084
