ticker,filter,optimizer,seed,holdout_mse
AAPL,F0,adam,0,2.037664213351334e-06
AAPL,F0,adam,1,2.024996361057163e-06
AAPL,F0,sgd,0,0.0002855071743800356
AAPL,F0,sgd,1,0.0002803729425005791
AAPL,F1,adam,0,2.5467562731696997e-06
AAPL,F1,adam,1,2.5191002453582103e-06
AAPL,F1,sgd,0,0.00028567684861594526
AAPL,F1,sgd,1,0.0002805392912745742
AAPL,F2,adam,0,3.736769753223524e-06
AAPL,F2,adam,1,3.7073939980790696e-06
AAPL,F2,sgd,0,0.00029493493470998943
AAPL,F2,sgd,1,0.0002896305557609127
AAPL,F3,adam,0,2.3089424246686205e-06
AAPL,F3,adam,1,2.2868808680329463e-06
AAPL,F3,sgd,0,0.00028583009625658137
AAPL,F3,sgd,1,0.00028068983629055025
AAPL,F4,adam,0,2.127981461524733e-06
AAPL,F4,adam,1,2.1115166586348936e-06
AAPL,F4,sgd,0,0.00028535971623351147
AAPL,F4,sgd,1,0.0002802279776170014
AAPL,F6,adam,0,2.3819161284782853e-06
AAPL,F6,adam,1,2.357772912837628e-06
AAPL,F6,sgd,0,0.00028595413325601115
AAPL,F6,sgd,1,0.0002808116079177663
AAPL,F7,adam,0,2.346941587003134e-06
AAPL,F7,adam,1,2.3239387756873038e-06
AAPL,F7,sgd,0,0.00028559798196690195
AAPL,F7,sgd,1,0.00028046181699565973
AAPL,F5,adam,0,0.0020432255437522976
AAPL,F5,adam,1,0.0020431832140063687
AAPL,F5,sgd,0,0.0003487474501666875
AAPL,F5,sgd,1,0.00034310040822441797
AAPL,F9,adam,0,0.00012672955830318524
AAPL,F9,adam,1,0.0001269403968137483
AAPL,F9,sgd,0,0.00028078961896210215
AAPL,F9,sgd,1,0.00027567596059959425
AAPL,F0,adam,0,1.965765075419617e-06
AAPL,F0,adam,1,1.95195061270085e-06
AAPL,F0,sgd,0,0.0003483854617487381
AAPL,F0,sgd,1,0.0003422582672062859
AAPL,F1,adam,0,2.316830076733915e-06
AAPL,F1,adam,1,2.292038947316715e-06
AAPL,F1,sgd,0,0.0003484118435237639
AAPL,F1,sgd,1,0.0003422839172247946
AAPL,F2,adam,0,3.1299824317355698e-06
AAPL,F2,adam,1,3.1019201690822995e-06
AAPL,F2,sgd,0,0.00035377630188548843
AAPL,F2,sgd,1,0.0003475524321618438
AAPL,F3,adam,0,2.19352198356508e-06
AAPL,F3,adam,1,2.170861424564798e-06
AAPL,F3,sgd,0,0.00034872306089668505
AAPL,F3,sgd,1,0.0003425897210386227
AAPL,F4,adam,0,2.0709578230708075e-06
AAPL,F4,adam,1,2.05311239087732e-06
AAPL,F4,sgd,0,0.00034818625864521045
AAPL,F4,sgd,1,0.0003420625697265352
AAPL,F6,adam,0,2.232608474955942e-06
AAPL,F6,adam,1,2.2085560541188213e-06
AAPL,F6,sgd,0,0.0003488486553843327
AAPL,F6,sgd,1,0.00034271306064153695
AAPL,F7,adam,0,2.2452282967140812e-06
AAPL,F7,adam,1,2.2218616252165544e-06
AAPL,F7,sgd,0,0.0003484539320878723
AAPL,F7,sgd,1,0.0003423253571178704
AAPL,F5,adam,0,0.0023895786417280993
AAPL,F5,adam,1,0.0023895196228305784
AAPL,F5,sgd,0,0.0004236520522533044
AAPL,F5,sgd,1,0.00041693034604918804
AAPL,F9,adam,0,0.00016596003044327758
AAPL,F9,adam,1,0.0001662286330016081
AAPL,F9,sgd,0,0.000342589502986673
AAPL,F9,sgd,1,0.00033648862546288593
AAPL,F0,adam,0,1.081429480097851e-06
AAPL,F0,adam,1,1.0753178426555646e-06
AAPL,F0,sgd,0,0.00010828689085721353
AAPL,F0,sgd,1,0.00010636644438299318
AAPL,F1,adam,0,1.1933530990540285e-06
AAPL,F1,adam,1,1.181260640253412e-06
AAPL,F1,sgd,0,0.00010827928502742106
AAPL,F1,sgd,1,0.0001063589045415753
AAPL,F2,adam,0,1.72238909404835e-06
AAPL,F2,adam,1,1.7085518618912464e-06
AAPL,F2,sgd,0,0.00010825667844659762
AAPL,F2,sgd,1,0.00010633662749911012
AAPL,F3,adam,0,1.1840739233470393e-06
AAPL,F3,adam,1,1.1712426652883116e-06
AAPL,F3,sgd,0,0.00010835423714487955
AAPL,F3,sgd,1,0.00010643256014171884
AAPL,F4,adam,0,1.1143462775538474e-06
