ticker,filter,optimizer,seed,holdout_mse
AAPL,F0,adam,0,0.000295074259889594
AAPL,F0,adam,1,0.0002950732032039567
AAPL,F0,adamw,0,0.00029507425501538017
AAPL,F0,adamw,1,0.000295074168085523
AAPL,F1 MA,adam,0,0.0005265440010077289
AAPL,F1 MA,adam,1,0.0005265440010077288
AAPL,F1 MA,adamw,0,0.0005265401038057594
AAPL,F1 MA,adamw,1,0.0005265401617823308
AAPL,F2 Kalman,adam,0,0.0005733137290164537
AAPL,F2 Kalman,adam,1,0.0005752543527229055
AAPL,F2 Kalman,adamw,0,0.0005732271880760128
AAPL,F2 Kalman,adamw,1,0.0005751658378427312
AAPL,F4c Causal Median,adam,0,0.0005041420838415446
AAPL,F4c Causal Median,adam,1,0.0005041420838415446
AAPL,F4c Causal Median,adamw,0,0.0005041393459550518
AAPL,F4c Causal Median,adamw,1,0.0005041393988314859
AAPL,F0,adam,0,0.00043024184262409836
AAPL,F0,adam,1,0.00043024184262409836
AAPL,F0,adamw,0,0.00043024184159135573
AAPL,F0,adamw,1,0.00043024184145979354
AAPL,F1 MA,adam,0,0.0006867620359138603
AAPL,F1 MA,adam,1,0.0006867620359138602
AAPL,F1 MA,adamw,0,0.0006867576996711382
AAPL,F1 MA,adamw,1,0.0006867577655940947
AAPL,F2 Kalman,adam,0,0.0007211496478643448
AAPL,F2 Kalman,adam,1,0.0007212959700026753
AAPL,F2 Kalman,adamw,0,0.0007211124254618031
AAPL,F2 Kalman,adamw,1,0.0007212590401406124
AAPL,F4c Causal Median,adam,0,0.0006558763312384416
AAPL,F4c Causal Median,adam,1,0.0006558763312384415
AAPL,F4c Causal Median,adamw,0,0.0006558735700989836
AAPL,F4c Causal Median,adamw,1,0.0006558736303871846
AAPL,F0,adam,0,0.0001162512698378627
AAPL,F0,adam,1,0.00011625126983786273
AAPL,F0,adamw,0,0.00011625126953358586
AAPL,F0,adamw,1,0.00011625126947362424
AAPL,F1 MA,adam,0,0.00017220794902924602
AAPL,F1 MA,adam,1,0.00017220794902924602
AAPL,F1 MA,adamw,0,0.00017220657268470898
AAPL,F1 MA,adamw,1,0.00017220659124056703
AAPL,F2 Kalman,adam,0,0.0001912110256294681
AAPL,F2 Kalman,adam,1,0.00019122059624083172
AAPL,F2 Kalman,adamw,0,0.000191199065552055
AAPL,F2 Kalman,adamw,1,0.00019120880462112112
AAPL,F4c Causal Median,adam,0,0.00015091646421163651
AAPL,F4c Causal Median,adam,1,0.00015091646421163651
AAPL,F4c Causal Median,adamw,0,0.0001509159693434603
AAPL,F4c Causal Median,adamw,1,0.0001509159797267595
AAPL,F0,adam,0,0.00012248056843963925
AAPL,F0,adam,1,0.00012248056843963925
AAPL,F0,adamw,0,0.0001224805684353065
AAPL,F0,adamw,1,0.00012248056842243519
AAPL,F1 MA,adam,0,0.00018387795593855804
AAPL,F1 MA,adam,1,0.00018387795593855804
AAPL,F1 MA,adamw,0,0.00018387571275190764
AAPL,F1 MA,adamw,1,0.00018387573656496466
AAPL,F2 Kalman,adam,0,0.00025783411965968036
AAPL,F2 Kalman,adam,1,0.0002579104224758228
AAPL,F2 Kalman,adamw,0,0.0002578045498167411
AAPL,F2 Kalman,adamw,1,0.00025788109056293514
AAPL,F4c Causal Median,adam,0,0.00015143195412346496
AAPL,F4c Causal Median,adam,1,0.00015143195412346496
AAPL,F4c Causal Median,adamw,0,0.00015143129072724785
AAPL,F4c Causal Median,adamw,1,0.00015143130388628373
BTC-USD,F0,adam,0,0.00156903867068491
BTC-USD,F0,adam,1,0.0015690386706849095
BTC-USD,F0,adamw,0,0.0015690386647216207
BTC-USD,F0,adamw,1,0.0015690386630138667
BTC-USD,F1 MA,adam,0,0.0025167429998808268
BTC-USD,F1 MA,adam,1,0.0025167429998808268
BTC-USD,F1 MA,adamw,0,0.0025167224576151666
BTC-USD,F1 MA,adamw,1,0.002516722716182699
BTC-USD,F2 Kalman,adam,0,0.003340887324031061
BTC-USD,F2 Kalman,adam,1,0.003341272641262677
BTC-USD,F2 Kalman,adamw,0,0.0033406791128191278
BTC-USD,F2 Kalman,adamw,1,0.003341066519916691
BTC-USD,F4c Causal Median,adam,0,0.0020139081960652548
BTC-USD,F4c Causal Median,adam,1,0.0020139081960652548
BTC-USD,F4c Causal Median,adamw,0,0.0020139042005502417
BTC-USD,F4c Causal Median,adamw,1,0.002013904280553637
BTC-USD,F0,adam,0,0.001404384601701028
BTC-USD,F0,adam,1,0.001404384601701028
BTC-USD,F0,adamw,0,0.00140438459094576
BTC-USD,F0,adamw,1,0.0014043845921423161
BTC-USD,F1 MA,adam,0,0.0022831857617921043
BTC-USD,F1 MA,adam,1,0.0022831857617921043
BTC-USD,F1 MA,adamw,0,0.002283167460790139
BTC-USD,F1 MA,adamw,1,0.0022831677082103237
BTC-USD,F2 Kalman,adam,0,0.002483841996485423
BTC-USD,F2 Kalman,adam,1,0.0024901090018340376
BTC-USD,F2 Kalman,adamw,0,0.0024835401540030254
BTC-USD,F2 Kalman,adamw,1,0.0024898015275681353
BTC-USD,F4c Causal Median,adam,0,0.0018388335249510488
BTC-USD,F4c Causal Median,adam,1,0.0018388335249510488
BTC-USD,F4c Causal Median,adamw,0,0.001838829718697444
BTC-USD,F4c Causal Median,adamw,1,0.0018388298017296132
BTC-USD,F0,adam,0,0.0008069850842089835
BTC-USD,F0,adam,1,0.0008069851809167678
BTC-USD,F0,adamw,0,0.0008069850846622728
BTC-USD,F0,adamw,1,0.0008069850413055811
BTC-USD,F1 MA,adam,0,0.0014769663071155187
BTC-USD,F1 MA,adam,1,0.0014769663071155187
BTC-USD,F1 MA,adamw,0,0.0014769496231341087
BTC-USD,F1 MA,adamw,1,0.0014769498312201526
BTC-USD,F2 Kalman,adam,0,0.001732275292391859
BTC-USD,F2 Kalman,adam,1,0.001733780768493999
BTC-USD,F2 Kalman,adamw,0,0.0017320711275450348
BTC-USD,F2 Kalman,adamw,1,0.0017335785316287277
BTC-USD,F4c Causal Median,adam,0,0.0011295692624690556
BTC-USD,F4c Causal Median,adam,1,0.0011295692624690556
BTC-USD,F4c Causal Median,adamw,0,0.00112956707933239
BTC-USD,F4c Causal Median,adamw,1,0.0011295671302874624
BTC-USD,F0,adam,0,0.00034974017443577336
BTC-USD,F0,adam,1,0.00034974108479484604
BTC-USD,F0,adamw,0,0.0003497401739620386
BTC-USD,F0,adamw,1,0.00034973939916610507
BTC-USD,F1 MA,adam,0,0.0005670072025936537
BTC-USD,F1 MA,adam,1,0.0005670072025936536
BTC-USD,F1 MA,adamw,0,0.000567002154686084
BTC-USD,F1 MA,adamw,1,0.0005670022151881633
BTC-USD,F2 Kalman,adam,0,0.0006144797246600907
BTC-USD,F2 Kalman,adam,1,0.000614983292623038
BTC-USD,F2 Kalman,adamw,0,0.0006144364215963029
BTC-USD,F2 Kalman,adamw,1,0.0006149396395141734
BTC-USD,F4c Causal Median,adam,0,0.000531834496338881
BTC-USD,F4c Causal Median,adam,1,0.0005318344963388809
BTC-USD,F4c Causal Median,adamw,0,0.0005318316124057566
BTC-USD,F4c Causal Median,adamw,1,0.0005318316573541055
ETH-USD,F0,adam,0,0.002608861434061733
ETH-USD,F0,adam,1,0.002608861434061733
ETH-USD,F0,adamw,0,0.002608861418438153
ETH-USD,F0,adamw,1,0.002608861415656781
ETH-USD,F1 MA,adam,0,0.003994997271726457
ETH-USD,F1 MA,adam,1,0.003994997271726457
ETH-USD,F1 MA,adamw,0,0.003994964270766932
ETH-USD,F1 MA,adamw,1,0.00399496469928202
ETH-USD,F2 Kalman,adam,0,0.004369373187390493
ETH-USD,F2 Kalman,adam,1,0.004371246695116817
ETH-USD,F2 Kalman,adamw,0,0.004369025448815916
ETH-USD,F2 Kalman,adamw,1,0.004370901659125131
ETH-USD,F4c Causal Median,adam,0,0.0035119602774251212
ETH-USD,F4c Causal Median,adam,1,0.0035119602774251212
ETH-USD,F4c Causal Median,adamw,0,0.0035119469547457384
ETH-USD,F4c Causal Median,adamw,1,0.003511947215756983
ETH-USD,F0,adam,0,0.0028316732711130164
ETH-USD,F0,adam,1,0.0028316732711130164
ETH-USD,F0,adamw,0,0.0028316732420389595
ETH-USD,F0,adamw,1,0.0028316732448331284
ETH-USD,F1 MA,adam,0,0.004646109722240906
ETH-USD,F1 MA,adam,1,0.004646109722240906
ETH-USD,F1 MA,adamw,0,0.004646074595734883
ETH-USD,F1 MA,adamw,1,0.0046460750704099465
ETH-USD,F2 Kalman,adam,0,0.005068047296561582
ETH-USD,F2 Kalman,adam,1,0.005081130847614763
ETH-USD,F2 Kalman,adamw,0,0.005067321884262352
ETH-USD,F2 Kalman,adamw,1,0.0050803950307821725
ETH-USD,F4c Causal Median,adam,0,0.0038914715711472637
ETH-USD,F4c Causal Median,adam,1,0.0038914715711472637
ETH-USD,F4c Causal Median,adamw,0,0.0038914585432175282
ETH-USD,F4c Causal Median,adamw,1,0.0038914588198670176
ETH-USD,F0,adam,0,0.00105678552816235
ETH-USD,F0,adam,1,0.0010567855281623502
ETH-USD,F0,adamw,0,0.0010567855266174415
ETH-USD,F0,adamw,1,0.0010567855264742067
ETH-USD,F1 MA,adam,0,0.001785328343434926
ETH-USD,F1 MA,adam,1,0.001785328343434926
ETH-USD,F1 MA,adamw,0,0.0017853142667249911
ETH-USD,F1 MA,adamw,1,0.0017853144544551828
ETH-USD,F2 Kalman,adam,0,0.002254550397121581
ETH-USD,F2 Kalman,adam,1,0.0022560069105544626
ETH-USD,F2 Kalman,adamw,0,0.0022542870823920014
ETH-USD,F2 Kalman,adamw,1,0.002255746769776242
ETH-USD,F4c Causal Median,adam,0,0.0015315607606610298
ETH-USD,F4c Causal Median,adam,1,0.0015315607606610298
ETH-USD,F4c Causal Median,adamw,0,0.0015315561969747483
ETH-USD,F4c Causal Median,adamw,1,0.0015315562866196398
ETH-USD,F0,adam,0,0.0012650705440620702
ETH-USD,F0,adam,1,0.0012650705440620702
ETH-USD,F0,adamw,0,0.0012650705412451135
ETH-USD,F0,adamw,1,0.001265070540338639
ETH-USD,F1 MA,adam,0,0.0019327309220840774
ETH-USD,F1 MA,adam,1,0.0019327309220840772
ETH-USD,F1 MA,adamw,0,0.0019327171563888563
ETH-USD,F1 MA,adamw,1,0.001932717333118973
ETH-USD,F2 Kalman,adam,0,0.0021338342938117816
ETH-USD,F2 Kalman,adam,1,0.0021347544506294907
ETH-USD,F2 Kalman,adamw,0,0.002133717572600226
ETH-USD,F2 Kalman,adamw,1,0.0021346380744431234
ETH-USD,F4c Causal Median,adam,0,0.0016948828289771135
ETH-USD,F4c Causal Median,adam,1,0.0016948828289771137
ETH-USD,F4c Causal Median,adamw,0,0.0016948783053682193
ETH-USD,F4c Causal Median,adamw,1,0.0016948783867206801
EURUSD=X,F0,adam,0,1.0376549837433711e-05
EURUSD=X,F0,adam,1,1.0376549837433711e-05
EURUSD=X,F0,adamw,0,1.0376549788817498e-05
EURUSD=X,F0,adamw,1,1.0376549791871743e-05
EURUSD=X,F1 MA,adam,0,2.0221292744653837e-05
EURUSD=X,F1 MA,adam,1,2.0221292744653837e-05
EURUSD=X,F1 MA,adamw,0,2.022085512392394e-05
EURUSD=X,F1 MA,adamw,1,2.022085921961363e-05
EURUSD=X,F2 Kalman,adam,0,2.8106426923442475e-05
EURUSD=X,F2 Kalman,adam,1,2.819592348845142e-05
EURUSD=X,F2 Kalman,adamw,0,2.8098366341264125e-05
EURUSD=X,F2 Kalman,adamw,1,2.8187751378626723e-05
EURUSD=X,F4c Causal Median,adam,0,1.585332210440321e-05
EURUSD=X,F4c Causal Median,adam,1,1.585332210440321e-05
EURUSD=X,F4c Causal Median,adamw,0,1.585322754123328e-05
EURUSD=X,F4c Causal Median,adamw,1,1.585322917307113e-05
EURUSD=X,F0,adam,0,3.3182459114311044e-05
EURUSD=X,F0,adam,1,3.3182459114311044e-05
