noise,sigma,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
N1,0.1,F0,sgd,0,0.000501741722491734,0.84
N1,0.1,F0,sgd,1,0.00108963087926815,0.852
N1,0.1,F0,sgd,2,0.0008077285166976422,0.855
N1,0.1,F0,sgd,3,0.0009882225354720666,0.854
N1,0.1,F0,adam,0,0.00426753955103242,0.826
N1,0.1,F0,adam,1,0.006775758303908258,0.82
N1,0.1,F0,adam,2,0.006071247820091841,0.858
N1,0.1,F0,adam,3,0.003901527675797797,0.846
N1,0.1,F2,sgd,0,0.0005641442144435654,0.842
N1,0.1,F2,sgd,1,0.001116438672312122,0.846
N1,0.1,F2,sgd,2,0.0007848331661164877,0.854
N1,0.1,F2,sgd,3,0.0010050957421091212,0.855
N1,0.1,F2,adam,0,0.02031799146169306,0.81
N1,0.1,F2,adam,1,0.022073331113065555,0.817
N1,0.1,F2,adam,2,0.04472992077103543,0.785
N1,0.1,F2,adam,3,0.014960739545459264,0.821
N1,0.1,F4,sgd,0,0.0006403008903847387,0.836
N1,0.1,F4,sgd,1,0.001323653908716635,0.845
N1,0.1,F4,sgd,2,0.000886400293444754,0.86
N1,0.1,F4,sgd,3,0.0010624040984256553,0.851
N1,0.1,F4,adam,0,0.00542198582943769,0.827
N1,0.1,F4,adam,1,0.011904839214230608,0.817
N1,0.1,F4,adam,2,0.015964461279318557,0.832
N1,0.1,F4,adam,3,0.00764561873847303,0.844
N1,0.1,F7,sgd,0,0.0006626241358056156,0.838
N1,0.1,F7,sgd,1,0.0013715107426727927,0.852
N1,0.1,F7,sgd,2,0.0007653973958106835,0.858
N1,0.1,F7,sgd,3,0.0009029736330597831,0.85
N1,0.1,F7,adam,0,0.005074545354635106,0.827
N1,0.1,F7,adam,1,0.008582893585650134,0.824
N1,0.1,F7,adam,2,0.011715097036713055,0.843
N1,0.1,F7,adam,3,0.00553536411940783,0.845
N1,0.1,F8,sgd,0,0.0006789465508855633,0.838
N1,0.1,F8,sgd,1,0.0014233985074427677,0.851
N1,0.1,F8,sgd,2,0.0007723851804628569,0.858
N1,0.1,F8,sgd,3,0.0009023390046114828,0.851
N1,0.1,F8,adam,0,0.005714586968058278,0.821
N1,0.1,F8,adam,1,0.009280147421698162,0.818
N1,0.1,F8,adam,2,0.012360967036617841,0.84
N1,0.1,F8,adam,3,0.006013291438206844,0.843
N1,0.2,F0,sgd,0,0.0016244448932028648,0.833
N1,0.2,F0,sgd,1,0.0036992586084533953,0.844
N1,0.2,F0,sgd,2,0.002621079874549264,0.85
N1,0.2,F0,sgd,3,0.0026980625406059717,0.849
N1,0.2,F0,adam,0,0.0069021943500897475,0.816
N1,0.2,F0,adam,1,0.012475861465494124,0.819
N1,0.2,F0,adam,2,0.006902715794668565,0.855
N1,0.2,F0,adam,3,0.006201817084577025,0.84
N1,0.2,F2,sgd,0,0.0017834781334405076,0.831
N1,0.2,F2,sgd,1,0.003937706476220619,0.849
N1,0.2,F2,sgd,2,0.0026224438419233465,0.847
N1,0.2,F2,sgd,3,0.002697402001019806,0.851
N1,0.2,F2,adam,0,0.015835527402394654,0.81
N1,0.2,F2,adam,1,0.018501384581854897,0.82
N1,0.2,F2,adam,2,0.031498470819575033,0.821
N1,0.2,F2,adam,3,0.013414957823398773,0.818
N1,0.2,F4,sgd,0,0.0020966180254654724,0.829
N1,0.2,F4,sgd,1,0.004162790877347141,0.843
N1,0.2,F4,sgd,2,0.00298933888145372,0.858
N1,0.2,F4,sgd,3,0.0030036286238212953,0.843
N1,0.2,F4,adam,0,0.011374629714133683,0.812
N1,0.2,F4,adam,1,0.018557288048795386,0.811
N1,0.2,F4,adam,2,0.019412981605198273,0.816
N1,0.2,F4,adam,3,0.011651789506611367,0.821
N1,0.2,F7,sgd,0,0.0019404426643050993,0.826
N1,0.2,F7,sgd,1,0.004108532507940014,0.843
N1,0.2,F7,sgd,2,0.0022554612914320233,0.849
N1,0.2,F7,sgd,3,0.0026358519525625764,0.848
N1,0.2,F7,adam,0,0.009745708789435325,0.806
N1,0.2,F7,adam,1,0.014406666843098425,0.819
N1,0.2,F7,adam,2,0.013504382637730893,0.843
N1,0.2,F7,adam,3,0.00898908634689771,0.838
N1,0.2,F8,sgd,0,0.0020194263985011457,0.826
N1,0.2,F8,sgd,1,0.004355285519941517,0.844
N1,0.2,F8,sgd,2,0.002267083522243341,0.851
N1,0.2,F8,sgd,3,0.0026473997277952797,0.849
N1,0.2,F8,adam,0,0.01010358470095328,0.809
N1,0.2,F8,adam,1,0.015092770348499818,0.818
N1,0.2,F8,adam,2,0.013773634429571665,0.841
N1,0.2,F8,adam,3,0.009438603549652386,0.836
N1,0.4,F0,sgd,0,0.005783782862939132,0.836
N1,0.4,F0,sgd,1,0.013670413555016449,0.824
N1,0.4,F0,sgd,2,0.00993831104159533,0.837
N1,0.4,F0,sgd,3,0.008314021373751805,0.834
N1,0.4,F0,adam,0,0.012097881583039469,0.815
N1,0.4,F0,adam,1,0.026675795853470574,0.788
