task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
logistic,F0,N5,sgd,0,2000,0.05,686,0.008216238724811193,0.3626411922636988,0.824,0.8902040750035667
logistic,F0,N5,sgd,1,2000,0.05,401,0.015374330961357074,0.39809316567938097,0.799,0.5250493769999593
logistic,F0,N5,sgd,2,2000,0.05,641,0.0210336196679812,0.41438622812623815,0.79,0.8856831359953503
logistic,F0,N5,sgd,3,2000,0.05,388,0.01740804021059319,0.4194958709871706,0.823,0.8729809470023611
logistic,F0,N5,sgd,4,2000,0.05,625,0.009545498725594802,0.35902227492750033,0.812,0.8701727459992981
logistic,F0,N5,adam,0,2000,0.05,1255,0.013240799528177118,0.44997195933992573,0.813,0.5337857159975101
logistic,F0,N5,adam,1,2000,0.05,436,0.025658688650714342,0.4732598825376768,0.791,0.9291143899972667
logistic,F0,N5,adam,2,2000,0.05,674,0.03376266971972135,0.5161518182170964,0.778,0.9119540430037887
logistic,F0,N5,adam,3,2000,0.05,130,0.026527091990455304,0.541172081980875,0.812,0.9291142799993395
logistic,F0,N5,adam,4,2000,0.05,771,0.01344332537303319,0.3993832305994334,0.798,0.9190486150037032
logistic,F0,N5,adamw,0,2000,0.05,1256,0.013285106818745718,0.44934664906378946,0.812,0.5266480639984366
logistic,F0,N5,adamw,1,2000,0.05,436,0.025714643028860056,0.4732020512808437,0.79,0.5346706400014227
logistic,F0,N5,adamw,2,2000,0.05,674,0.033828699639898235,0.5160279658597597,0.778,0.568818353000097
logistic,F0,N5,adamw,3,2000,0.05,130,0.02658814526303065,0.5406386270798688,0.812,0.5400908040028298
logistic,F0,N5,adamw,4,2000,0.05,771,0.013491710045523592,0.39914213026201234,0.798,0.541845250998449
logistic,F0,N6,sgd,0,2000,0.05,741,0.0048426643289589,0.3567815343544982,0.835,0.5282167800032767
logistic,F0,N6,sgd,1,2000,0.05,618,0.010648327401078572,0.38633047204605997,0.829,0.8908688869996695
logistic,F0,N6,sgd,2,2000,0.05,501,0.009194668281585609,0.35717229661798966,0.843,0.8849312200036366
logistic,F0,N6,sgd,3,2000,0.05,605,0.016699917742955647,0.4310179142983605,0.811,0.5635313389939256
logistic,F0,N6,sgd,4,2000,0.05,347,0.011963830711342091,0.37060248753757596,0.821,0.8829940619980334
logistic,F0,N6,adam,0,2000,0.05,783,0.007073392205534626,0.4260541259479672,0.828,0.5402489639964188
logistic,F0,N6,adam,1,2000,0.05,1916,0.018601006584976647,0.4670049209146294,0.814,0.5549574000033317
logistic,F0,N6,adam,2,2000,0.05,508,0.015292428314524332,0.39467187213396315,0.829,0.5458048090004013
logistic,F0,N6,adam,3,2000,0.05,636,0.019144828765461506,0.516530621732813,0.801,0.8852154409978539
logistic,F0,N6,adam,4,2000,0.05,380,0.019947351445727228,0.4407618918139906,0.809,0.8835902339997119
logistic,F0,N6,adamw,0,2000,0.05,783,0.007096139528810939,0.42516759182467717,0.828,0.9482411540011526
logistic,F0,N6,adamw,1,2000,0.05,1916,0.01864764501759659,0.46682077807561523,0.814,0.9481351440044818
logistic,F0,N6,adamw,2,2000,0.05,508,0.015331502318224971,0.3946238189368365,0.829,0.9369820139982039
logistic,F0,N6,adamw,3,2000,0.05,636,0.01922392622577076,0.5154798248254847,0.799,0.5528791600008844
logistic,F0,N6,adamw,4,2000,0.05,380,0.020005330148196037,0.44050270901886546,0.809,0.9357576370020979
logistic,F2,N5,sgd,0,2000,0.05,705,0.008991773451051985,0.36625125822633525,0.824,0.8631340710053337
logistic,F2,N5,sgd,1,2000,0.05,418,0.0153554719336936,0.39795996359375113,0.799,1.5102693230001023
logistic,F2,N5,sgd,2,2000,0.05,660,0.020962217839092384,0.4151947186241318,0.793,0.8694460289989365
logistic,F2,N5,sgd,3,2000,0.05,399,0.018220087338878567,0.42327110734582785,0.819,0.8709616860069218
logistic,F2,N5,sgd,4,2000,0.05,645,0.0082552771620703,0.35439100976158033,0.811,1.5021618370010401
logistic,F2,N5,adam,0,2000,0.05,-1,0.029375831221349184,1.7278362179964173,0.79,0.9032296709992806
logistic,F2,N5,adam,1,2000,0.05,-1,0.05392295925053016,1.5285489927797462,0.738,1.5023003770038486
logistic,F2,N5,adam,2,2000,0.05,-1,0.06399018821497296,1.7998782781657556,0.747,1.5000561760025448
logistic,F2,N5,adam,3,2000,0.05,-1,0.04466877466062711,1.886222083495481,0.792,1.5427230470013455
logistic,F2,N5,adam,4,2000,0.05,-1,0.026880994711996044,1.0798035431331678,0.775,1.5374407729977975
logistic,F2,N5,adamw,0,2000,0.05,-1,0.029467708192461535,1.7245894204517174,0.79,1.5375033840027754
logistic,F2,N5,adamw,1,2000,0.05,-1,0.05403720942924818,1.527990545196637,0.738,0.9070460669972817
logistic,F2,N5,adamw,2,2000,0.05,-1,0.06409181005119727,1.7992168488775597,0.746,0.890134871006012
logistic,F2,N5,adamw,3,2000,0.05,-1,0.044800965816015,1.8837764725503774,0.791,1.5414785000029951
logistic,F2,N5,adamw,4,2000,0.05,-1,0.027003161904450453,1.078006887718603,0.775,0.8840592540000216
logistic,F2,N6,sgd,0,2000,0.05,757,0.004731699792151962,0.35112385342279945,0.834,0.8775067449969356
logistic,F2,N6,sgd,1,2000,0.05,630,0.011589456822272663,0.3912744194469869,0.83,1.5082195799986948
logistic,F2,N6,sgd,2,2000,0.05,518,0.010651187988433728,0.36319006885102284,0.84,1.514185776002705
logistic,F2,N6,sgd,3,2000,0.05,625,0.015096690748196482,0.4261259207419355,0.81,0.8936701849961537
logistic,F2,N6,sgd,4,2000,0.05,374,0.012615085591086886,0.376680065499739,0.82,0.8813088510069065
logistic,F2,N6,adam,0,2000,0.05,-1,0.01283725963301631,1.5317251705314252,0.82,0.9213196290002088
logistic,F2,N6,adam,1,2000,0.05,-1,0.03634289426762784,1.5493268627421666,0.78,1.546172029004083
logistic,F2,N6,adam,2,2000,0.05,-1,0.06282216051187517,1.3947469298191197,0.742,1.5541748750038096
logistic,F2,N6,adam,3,2000,0.05,1518,0.037035434235479864,2.0348155204546683,0.788,0.9055526489974
logistic,F2,N6,adam,4,2000,0.05,-1,0.03892110911462599,1.4628195448383299,0.767,1.5495898540029884
logistic,F2,N6,adamw,0,2000,0.05,-1,0.012896041982979441,1.5272246885199579,0.82,1.5543611550019705
logistic,F2,N6,adamw,1,2000,0.05,-1,0.03645156302853803,1.5481494400754028,0.779,1.5543498349943548
logistic,F2,N6,adamw,2,2000,0.05,-1,0.0630285908697783,1.3949154756445685,0.742,1.559634217999701
logistic,F2,N6,adamw,3,2000,0.05,1594,0.03723242052352792,2.0287827366170275,0.787,0.9024820440026815
logistic,F2,N6,adamw,4,2000,0.05,-1,0.03901595758015293,1.4607316642038704,0.768,0.9197468610000215
logistic,F4,N5,sgd,0,2000,0.05,559,0.011857264764293317,0.3913913703139425,0.823,2.8338384620001307
logistic,F4,N5,sgd,1,2000,0.05,436,0.007853493142985958,0.36740428354391585,0.827,2.784064478997607
logistic,F4,N5,sgd,2,2000,0.05,686,0.025224797639235793,0.4444159191978387,0.794,4.447510261001298
logistic,F4,N5,sgd,3,2000,0.05,426,0.023617866733023067,0.4790675984114255,0.818,4.442467398002918
logistic,F4,N5,sgd,4,2000,0.05,636,0.012943019290871377,0.3761744777286866,0.815,4.445024666005338
logistic,F4,N5,adam,0,2000,0.05,-1,0.019463142249361697,0.7166964568280102,0.811,4.452514009994047
logistic,F4,N5,adam,1,2000,0.05,-1,0.01768594661311587,0.5598637212469146,0.81,2.740239198996278
logistic,F4,N5,adam,2,2000,0.05,740,0.053766329177028054,0.8728238805634004,0.757,2.74152200500248
logistic,F4,N5,adam,3,2000,0.05,1676,0.042028051824560105,1.0490356699790044,0.804,4.422737405002408
logistic,F4,N5,adam,4,2000,0.05,1029,0.027247632774355362,0.5600854505721796,0.793,4.461011806000897
logistic,F4,N5,adamw,0,2000,0.05,-1,0.01951543716914563,0.7150311590132957,0.811,4.460993365995819
logistic,F4,N5,adamw,1,2000,0.05,-1,0.017742515695169003,0.5594414780876539,0.808,4.438213181994797
