task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
quadratic,F0,N1,sgd,0,2000,0.01,-1,0.20774186322691318,-0.14608577347772642,0.15324637726573487,0.17872363000060432
quadratic,F0,N1,sgd,1,2000,0.01,-1,0.10318619522517647,-0.045241852929296625,0.12860987516770409,0.1783022789968527
quadratic,F0,N1,sgd,2,2000,0.01,-1,0.3466444536700925,-0.0722540616210414,0.1946335233867934,0.2113043139979709
quadratic,F0,N1,sgd,3,2000,0.01,-1,0.14634216444255643,-0.03195957389676235,0.12834937132923557,0.1822194730048068
quadratic,F0,N1,sgd,4,2000,0.01,-1,0.18576027279365526,-0.043570346367613255,0.1287859433200866,0.211412005002785
quadratic,F0,N1,adam,0,2000,0.01,-1,0.5854890209238325,-0.10648636076340867,0.22707709025374934,0.24452949999977136
quadratic,F0,N1,adam,1,2000,0.01,-1,0.3532124649671335,-0.013978251254651505,0.19686390310400234,0.10935358699498465
quadratic,F0,N1,adam,2,2000,0.01,-1,0.6881390341443072,-0.02620162897366865,0.277171372589354,0.2300359450018732
quadratic,F0,N1,adam,3,2000,0.01,-1,0.37737026961392467,-0.006302527877142666,0.17818240623088163,0.11387311399448663
quadratic,F0,N1,adam,4,2000,0.01,-1,0.344986723613555,-0.017286352029237867,0.1977483288823799,0.24375620800128672
quadratic,F0,N1,adamw,0,2000,0.01,-1,0.5854764671852243,-0.10648842323717206,0.22707301911319094,0.1201671569942846
quadratic,F0,N1,adamw,1,2000,0.01,-1,0.3532034037517305,-0.01398002196891926,0.19685926349563504,0.11434918500162894
quadratic,F0,N1,adamw,2,2000,0.01,-1,0.6881248666825599,-0.02620474622986671,0.277164227470737,0.11094151199358748
quadratic,F0,N1,adamw,3,2000,0.01,-1,0.3773613273678418,-0.006303872604083119,0.17817961143209124,0.11202392599807354
quadratic,F0,N1,adamw,4,2000,0.01,-1,0.3449752795128042,-0.017288865350128968,0.19773975291623383,0.11421632500423584
quadratic,F0,N2,sgd,0,2000,0.01,-1,0.4660203054980465,-0.1308298373563844,0.172899221492893,3.694957487998181
quadratic,F0,N2,sgd,1,2000,0.01,-1,0.27056103323272335,-0.026382604856844766,0.1759962767547785,2.029992765004863
quadratic,F0,N2,sgd,2,2000,0.01,-1,0.2265354324673863,-0.08957685350486419,0.1501182011425972,3.8346529490008834
quadratic,F0,N2,sgd,3,2000,0.01,-1,0.4159621047769017,0.009992871166457987,0.22152591088127355,3.7276353819979704
quadratic,F0,N2,sgd,4,2000,0.01,-1,0.24827715890192573,-0.03254858517467435,0.1639549286713097,2.063832833999186
quadratic,F0,N2,adam,0,2000,0.01,-1,0.5525283838470211,-0.11381212545407471,0.2120421921052754,2.055285381000431
quadratic,F0,N2,adam,1,2000,0.01,-1,0.3007063887531525,-0.01018854420356527,0.22886828814184385,2.1442473599963705
quadratic,F0,N2,adam,2,2000,0.01,-1,0.5786582329943816,-0.0564106480327084,0.20657789980927538,3.7585750880025444
quadratic,F0,N2,adam,3,2000,0.01,-1,0.8214122780419537,0.05532509466275498,0.2760078420296604,3.8577566649983055
quadratic,F0,N2,adam,4,2000,0.01,-1,0.49258884827471816,-0.0032721778820046787,0.22699071099381563,3.7523600439963047
quadratic,F0,N2,adamw,0,2000,0.01,-1,0.5525163978902523,-0.11381393347396096,0.21203835209505237,4.054346932003682
quadratic,F0,N2,adamw,1,2000,0.01,-1,0.30069474575863303,-0.010190935948105745,0.22886347546413902,4.057955955999205
quadratic,F0,N2,adamw,2,2000,0.01,-1,0.5786467478980983,-0.056412301758777844,0.20657440930014523,1.9707998459998635
quadratic,F0,N2,adamw,3,2000,0.01,-1,0.8213955330894726,0.05532265145459038,0.2760040289221502,2.0315207759995246
quadratic,F0,N2,adamw,4,2000,0.01,-1,0.49257466880952006,-0.0032749970824663133,0.22698423338985388,1.9651067640006659
quadratic,F0,N3,sgd,0,2000,0.01,-1,1.5485820054748416,0.09201383207543862,0.5457355031795206,0.8527564739997615
quadratic,F0,N3,sgd,1,2000,0.01,-1,1.5011572721886781,0.12867843093250214,0.3902019106772926,0.8961651279969374
quadratic,F0,N3,sgd,2,2000,0.01,-1,1.264435180399559,0.12346244167226525,0.4866174751549068,1.3605113020021236
quadratic,F0,N3,sgd,3,2000,0.01,-1,1.0454258773535874,0.09018093297415213,0.3414068673839481,1.3606764330033911
quadratic,F0,N3,sgd,4,2000,0.01,-1,1.1440340151293422,0.07619379027548814,0.34064750869273913,1.3517674489994533
quadratic,F0,N3,adam,0,2000,0.01,-1,1.2710014329579722,0.018855534793353113,0.44305073035080283,0.8390313100026106
quadratic,F0,N3,adam,1,2000,0.01,-1,0.8847397381901992,0.06749825664125053,0.33554438610311615,0.8749004259952926
quadratic,F0,N3,adam,2,2000,0.01,-1,1.0387109119228568,0.06405392779188579,0.4167904213398672,0.8630474710007547
quadratic,F0,N3,adam,3,2000,0.01,-1,0.8568832047177808,0.052257613802025926,0.2787324555659658,0.8497331799953827
quadratic,F0,N3,adam,4,2000,0.01,-1,0.8689577657175496,0.043293745934731065,0.3101433003863376,1.3765101730023162
quadratic,F0,N3,adamw,0,2000,0.01,-1,1.2708894090711786,0.018830371716363425,0.44301352397518573,1.3852597949953633
quadratic,F0,N3,adamw,1,2000,0.01,-1,0.8846822499900382,0.06747951506040559,0.33550941815476365,1.3836879400041653
quadratic,F0,N3,adamw,2,2000,0.01,-1,1.0386102152276306,0.06403389715390051,0.4167638463079707,1.4130015510017984
quadratic,F0,N3,adamw,3,2000,0.01,-1,0.8568088158532575,0.05224435919901266,0.27870591862942296,1.4148462579978514
quadratic,F0,N3,adamw,4,2000,0.01,-1,0.8689010837388786,0.04328192515824825,0.3101202282464934,0.847996033000527
quadratic,F0,N4,sgd,0,2000,0.01,-1,2.8755343860019105,0.18106098990822866,0.512104308374744,3.322479293005017
quadratic,F0,N4,sgd,1,2000,0.01,-1,2.512804487501555,0.2194121343236461,0.4261237508009125,3.295182569003373
quadratic,F0,N4,sgd,2,2000,0.01,-1,2.9276156371490076,0.48697273000600166,0.8769493143989661,5.356338474004588
quadratic,F0,N4,sgd,3,2000,0.01,-1,1.1396995713279499,0.13614994220218338,0.4145086445342982,3.299191194004379
quadratic,F0,N4,sgd,4,2000,0.01,-1,1.7416222998338389,0.1674564985231286,0.47228566545021544,6.0937447719988995
quadratic,F0,N4,adam,0,2000,0.01,-1,2.2113894608973514,0.04125217508120649,0.36255644021924616,5.311744174003252
quadratic,F0,N4,adam,1,2000,0.01,-1,1.3161996209629316,0.06619081453650358,0.281341212246732,5.39355577200331
quadratic,F0,N4,adam,2,2000,0.01,-1,1.7733874122076063,0.14561954991475312,0.49725551165306653,3.434205393998127
quadratic,F0,N4,adam,3,2000,0.01,-1,1.4606192999902126,0.1327017890348045,0.36178880864044477,6.101543728000252
quadratic,F0,N4,adam,4,2000,0.01,-1,0.8994241096769241,0.0955854592361042,0.43079773953349215,5.3301931399983005
quadratic,F0,N4,adamw,0,2000,0.01,-1,2.2113033768333534,0.041235373650809926,0.3625271955633259,5.2609336960013025
quadratic,F0,N4,adamw,1,2000,0.01,-1,1.316136290900442,0.06618252609092393,0.2813295222290661,5.260490544998902
quadratic,F0,N4,adamw,2,2000,0.01,-1,1.77312707505178,0.14556686501717442,0.4971918328271529,3.4380080490009277
quadratic,F0,N4,adamw,3,2000,0.01,-1,1.4605070368222266,0.13268220119991475,0.3617644978400549,3.296880483998393
quadratic,F0,N4,adamw,4,2000,0.01,-1,0.8992893478563453,0.09554186209392174,0.43072228844318694,3.3745778879965656
quadratic,F1,N1,sgd,0,2000,0.01,-1,0.28240150389834795,-0.140987430957622,0.16263322611805603,1.6136705039971275
quadratic,F1,N1,sgd,1,2000,0.01,-1,0.18698206971696807,-0.037204774295748214,0.1462459139753988,3.081511659998796
quadratic,F1,N1,sgd,2,2000,0.01,-1,0.3671635776630417,-0.07014972152046631,0.20131669581194309,3.0702939559996594
quadratic,F1,N1,sgd,3,2000,0.01,-1,0.1979631191177531,-0.026874814200551836,0.13617656860263072,1.5658088509953814
quadratic,F1,N1,sgd,4,2000,0.01,-1,0.18387926717092282,-0.03851984831000446,0.1522721832474094,3.089344446998439
quadratic,F1,N1,adam,0,2000,0.01,-1,6.107016500395062,0.24229049359756472,0.4041987555691537,3.0963729429931846
quadratic,F1,N1,adam,1,2000,0.01,-1,1.9957250107012567,0.14009183288431692,0.3477077835765471,3.1432282000023406
quadratic,F1,N1,adam,2,2000,0.01,-1,3.2633796859649062,0.1633969479695679,0.39446959264444936,3.1677523530015606
quadratic,F1,N1,adam,3,2000,0.01,-1,2.4808569813443775,0.14523068825250382,0.2960155670094261,3.170311062996916
quadratic,F1,N1,adam,4,2000,0.01,-1,2.947705798078632,0.17254353710209142,0.3463912235319693,1.5795712710023508
quadratic,F1,N1,adamw,0,2000,0.01,-1,6.106531226737865,0.24226371586878837,0.4041905087810039,1.5777362049993826
quadratic,F1,N1,adamw,1,2000,0.01,-1,1.9957060289413282,0.14008919064201272,0.3477043752823209,1.559237204004603
quadratic,F1,N1,adamw,2,2000,0.01,-1,3.2633085931563106,0.16339103325690507,0.39446399612935024,3.165042740998615
quadratic,F1,N1,adamw,3,2000,0.01,-1,2.481153903952252,0.1452458079761222,0.2960203843667323,1.5936307230003877
quadratic,F1,N1,adamw,4,2000,0.01,-1,2.9472396840638804,0.17251779893109992,0.3463800582852826,1.5707244040022488
quadratic,F1,N2,sgd,0,2000,0.01,-1,0.35347311528521563,-0.1386492497694206,0.16077954709925893,3.592796367003757
quadratic,F1,N2,sgd,1,2000,0.01,-1,0.2704874713043903,-0.023589466904583606,0.18099466970214517,3.5426865569970687
quadratic,F1,N2,sgd,2,2000,0.01,-1,0.32284054825351405,-0.08301511749408402,0.15404443421445757,6.868450638998183
quadratic,F1,N2,sgd,3,2000,0.01,-1,0.5645492947700228,0.021276053094738165,0.22681732595433396,6.898261390000698
quadratic,F1,N2,sgd,4,2000,0.01,-1,0.28865910890805696,-0.027885522144922778,0.1765774275941003,3.5618660469990573
quadratic,F1,N2,adam,0,2000,0.01,-1,3.1165813990004505,0.0952179237908955,0.37049667159158983,6.88345862999995
quadratic,F1,N2,adam,1,2000,0.01,-1,0.9931317726369387,0.060035862896233944,0.31881362982346045,6.899483670997142
quadratic,F1,N2,adam,2,2000,0.01,-1,2.732572460859109,0.13524160667431423,0.3855834711830229,7.110386527994706
quadratic,F1,N2,adam,3,2000,0.01,-1,4.265408693847557,0.30107438053392255,0.41126379368447247,6.972620355998515
quadratic,F1,N2,adam,4,2000,0.01,-1,3.8640530575550653,0.23268475192948057,0.37740880130485305,6.972666276000382
quadratic,F1,N2,adamw,0,2000,0.01,-1,3.116705750550712,0.09522239933046667,0.3704953919391642,3.577683554001851
quadratic,F1,N2,adamw,1,2000,0.01,-1,0.9931796870100607,0.060037786771850066,0.3188125817738348,7.1008924869965995
quadratic,F1,N2,adamw,2,2000,0.01,-1,2.7325264790934876,0.1352377301277694,0.38558088519091016,3.5757209790026536
quadratic,F1,N2,adamw,3,2000,0.01,-1,4.265137380869853,0.30105916870261845,0.4112586847124069,3.569442815001821
quadratic,F1,N2,adamw,4,2000,0.01,-1,3.8639746783738653,0.23267864716511844,0.37740457978216546,3.558880513002805
quadratic,F1,N3,sgd,0,2000,0.01,-1,2.0601727240900867,0.10874944966923827,0.5388459289980887,2.488902021003014
quadratic,F1,N3,sgd,1,2000,0.01,-1,1.549514609601808,0.12745122608602893,0.3907652957851783,4.404230946995085
quadratic,F1,N3,sgd,2,2000,0.01,-1,1.3113960024832882,0.1294087958853914,0.48905199751901085,2.532063078993815
quadratic,F1,N3,sgd,3,2000,0.01,-1,0.9640850432041449,0.079016959203749,0.32540744888446244,2.4482687119962065
quadratic,F1,N3,sgd,4,2000,0.01,-1,1.2739984942883975,0.07844960019826716,0.3388914183080384,4.404285586002516
quadratic,F1,N3,adam,0,2000,0.01,-1,2.961455432142043,0.2777795456879706,0.7038088565444662,2.4148699049983406
quadratic,F1,N3,adam,1,2000,0.01,-1,5.6239460670117065,0.5228272532935483,0.6365280197746501,2.4565036709973356
quadratic,F1,N3,adam,2,2000,0.01,-1,2.5407948873568715,0.24870640077370618,0.5579465356225973,4.427596812005504
quadratic,F1,N3,adam,3,2000,0.01,-1,2.026273084840142,0.19320370809403042,0.41300386197609446,4.430171422005515
quadratic,F1,N3,adam,4,2000,0.01,-1,2.006183309873918,0.16037985173818992,0.40732143673766746,4.467136159000802
quadratic,F1,N3,adamw,0,2000,0.01,-1,2.9613124431425706,0.2777383946956166,0.7037659250046586,4.4668088980033644
quadratic,F1,N3,adamw,1,2000,0.01,-1,5.623847092024664,0.5228087652324366,0.6365131642390212,4.475439371002722
quadratic,F1,N3,adamw,2,2000,0.01,-1,2.540716503469718,0.24869276737862037,0.5579345844078569,4.490799455998058
quadratic,F1,N3,adamw,3,2000,0.01,-1,2.0261982717812965,0.1931958222306862,0.4129974606848821,2.4735381720020087
quadratic,F1,N3,adamw,4,2000,0.01,-1,2.0061239365593493,0.16037170602579137,0.4073125018557796,2.485896716993011
quadratic,F1,N4,sgd,0,2000,0.01,-1,5.906435778738667,0.4377946743393352,0.615425345399983,5.285685652001121
quadratic,F1,N4,sgd,1,2000,0.01,-1,1.7950754255262613,0.13419518947246958,0.3717085912181603,4.915302943001734
quadratic,F1,N4,sgd,2,2000,0.01,-1,2.78410272367891,0.4844538365384032,0.8859036617138009,9.195786114003567
quadratic,F1,N4,sgd,3,2000,0.01,-1,2.1215282058499274,0.25145444892995134,0.4992172478490199,9.251070939993951
quadratic,F1,N4,sgd,4,2000,0.01,-1,1.446641701508584,0.13097819731527516,0.4484855293164159,4.964239287000964
quadratic,F1,N4,adam,0,2000,0.01,-1,7.741404184859943,0.5657443167797773,0.6369569720089275,6.991861996000807
quadratic,F1,N4,adam,1,2000,0.01,-1,3.9961295099760616,0.30452719634085434,0.48230486218574137,9.121326225998928
