task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
quadratic,F0,N1,sgd,0,2000,0.01,-1,0.21382020563757057,-0.1493370018020376,0.14085159732656208,0.020636666999962472
quadratic,F0,N1,sgd,1,2000,0.01,-1,0.28594621622758876,-0.03260679849222377,0.14808420090822783,0.017031458000019484
quadratic,F0,N1,sgd,2,2000,0.01,-1,0.26985807004109863,-0.0845023022692657,0.16406771277966514,0.019181374999789114
quadratic,F0,N1,sgd,3,2000,0.01,-1,0.2403218004747075,-0.021742705827362117,0.1413448430381761,0.014262290999795368
quadratic,F0,N1,sgd,4,2000,0.01,-1,0.25114882149675366,-0.03365865683379517,0.15778078576923313,0.020410874999470252
quadratic,F0,N1,adam,0,2000,0.01,-1,0.37848163871093055,-0.12747311551278412,0.1968118217192622,0.027943999999479274
quadratic,F0,N1,adam,1,2000,0.01,-1,0.7404677961377649,0.008852699396185479,0.2218418528338923,0.029869709000195144
quadratic,F0,N1,adam,2,2000,0.01,-1,0.5948272226702435,-0.04938837719901237,0.22207739211073507,0.023162917000263405
quadratic,F0,N1,adam,3,2000,0.01,-1,0.6104060091874931,0.019867503378095848,0.21338005781100716,0.029072290999465622
quadratic,F0,N1,adam,4,2000,0.01,-1,0.5811781211370212,0.006718169903625365,0.23764751837686365,0.03664970899990294
quadratic,F0,N1,adamw,0,2000,0.01,-1,0.3784753310618342,-0.12747453412654808,0.1968069333036823,0.024222500000178115
quadratic,F0,N1,adamw,1,2000,0.01,-1,0.740454583031112,0.008851082701152146,0.2218389580510159,0.03662979199998517
quadratic,F0,N1,adamw,2,2000,0.01,-1,0.5948176871207258,-0.04938987678600354,0.22207365625026396,0.030341541999405308
quadratic,F0,N1,adamw,3,2000,0.01,-1,0.610397001822317,0.01986648983856662,0.21337853839895307,0.024432791999970505
quadratic,F0,N1,adamw,4,2000,0.01,-1,0.5811631853853819,0.006715607341523572,0.2376427434034125,0.036508499999399646
quadratic,F0,N2,sgd,0,2000,0.01,-1,2.576750411636227,0.31560774865618235,0.7330461949411247,0.101528916999996
quadratic,F0,N2,sgd,1,2000,0.01,-1,3.429839567769651,0.5465054856965215,0.770670238713139,0.09891437500027678
quadratic,F0,N2,sgd,2,2000,0.01,-1,2.5399084161665852,0.3680539967888282,0.7627609706325181,0.10309404200052086
quadratic,F0,N2,sgd,3,2000,0.01,-1,1.8193945484926848,0.21561891942315214,0.4672233338919453,0.1047666250005932
quadratic,F0,N2,sgd,4,2000,0.01,-1,2.477885650316741,0.3927637926418021,0.6753338024448479,0.10309150000011869
quadratic,F0,N2,adam,0,2000,0.01,-1,3.9184324174891745,0.4915230556320137,0.8150937882861345,0.13013862499974493
quadratic,F0,N2,adam,1,2000,0.01,-1,4.551252226907229,0.81378680922091,0.9557158704259198,0.11748349999925267
quadratic,F0,N2,adam,2,2000,0.01,-1,3.14665515412601,0.4663769492443382,0.8367962674688502,0.10870679099934932
quadratic,F0,N2,adam,3,2000,0.01,-1,3.600304504871918,0.42413681808486303,0.6205125754434506,0.11823154200010322
quadratic,F0,N2,adam,4,2000,0.01,-1,3.4334508281863165,0.5705641479755071,0.8003225664594101,0.11136508300023706
quadratic,F0,N2,adamw,0,2000,0.01,-1,3.918285571888263,0.4914861884155126,0.8150648081411573,0.12311887499981822
quadratic,F0,N2,adamw,1,2000,0.01,-1,4.55108822061338,0.8137454407655325,0.9556891145098626,0.12768379199951596
quadratic,F0,N2,adamw,2,2000,0.01,-1,3.1465442054559425,0.4663456741150486,0.8367686832012851,0.10934204099976341
quadratic,F0,N2,adamw,3,2000,0.01,-1,3.6002097369417587,0.4241192762714835,0.6204982043817716,0.10772391599948605
quadratic,F0,N2,adamw,4,2000,0.01,-1,3.433353641295843,0.5705417438896923,0.8003060453608599,0.12881949999973585
