task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
quadratic,F0,N1,sgd,0,15000,0.01,43,0.0020963381677861935,-0.17473465416616205,0.01727907407999754,0.16682945800130256
quadratic,F0,N1,sgd,1,15000,0.01,21,0.0029862196245727867,-0.06307310892339767,0.015874890011570383,0.1765641250021872
quadratic,F0,N1,sgd,2,15000,0.01,34,0.0016597783233210284,-0.1182312523795301,0.014492311704899185,0.22350975000153994
quadratic,F0,N1,sgd,3,15000,0.01,19,0.003490027957322884,-0.05099752570718264,0.014358267863970896,0.1756097920006141
quadratic,F0,N1,sgd,4,15000,0.01,25,0.0016884326096490508,-0.06568054505307908,0.01374925624373015,0.18674337500124238
quadratic,F0,N1,adam,0,15000,0.01,12,0.02366374847173286,-0.17176403160386625,0.05155092042658349,0.2639319579975563
quadratic,F0,N1,adam,1,15000,0.01,7,0.041597272586273285,-0.05751568596855314,0.06836724314469095,0.27265374999842606
quadratic,F0,N1,adam,2,15000,0.01,7,0.03747524799150277,-0.11325110121309671,0.06766454579628299,0.26676516699808417
quadratic,F0,N1,adam,3,15000,0.01,4,0.051305918706445526,-0.04525561740084238,0.0718710778950775,0.2677702090004459
quadratic,F0,N1,adam,4,15000,0.01,5,0.04521039745263695,-0.059937441376455514,0.06782012025633015,0.26822154199908255
quadratic,F0,N1,adamw,0,15000,0.01,12,0.02366345877429057,-0.17176409357007658,0.05155023855249104,0.24846804099797737
quadratic,F0,N1,adamw,1,15000,0.01,7,0.041596799952873145,-0.05751573918628706,0.06836706923991624,0.25264816699927906
quadratic,F0,N1,adamw,2,15000,0.01,7,0.03747493658206016,-0.11325113963219813,0.0676643036584557,0.25622062500042375
quadratic,F0,N1,adamw,3,15000,0.01,4,0.05130533958022242,-0.04525569174095911,0.07187059537382899,0.26971441700152354
quadratic,F0,N1,adamw,4,15000,0.01,5,0.04520978420611664,-0.059937537050152936,0.0678194469999692,0.2784857090009609
quadratic,F0,N2,sgd,0,15000,0.01,47,0.02348983765992324,-0.17155312104837173,0.05717347151084273,0.469687332995818
quadratic,F0,N2,sgd,1,15000,0.01,24,0.0217424946662165,-0.05945818510889017,0.06686653471771357,0.5586376249993918
quadratic,F0,N2,sgd,2,15000,0.01,42,0.02058515150949891,-0.1146617059706131,0.06412626958217864,0.522371209000994
quadratic,F0,N2,sgd,3,15000,0.01,20,0.030895628021952778,-0.04646960277815288,0.06713383565155115,0.5077380419970723
quadratic,F0,N2,sgd,4,15000,0.01,26,0.02845294450728015,-0.061066262513907926,0.07096986839753221,0.48790966699743876
quadratic,F0,N2,adam,0,15000,0.01,41,0.11793698295149936,-0.15731829618221735,0.11924067563215004,0.6044479580014013
quadratic,F0,N2,adam,1,15000,0.01,26,0.07374622131786415,-0.051617617455503126,0.10709679288139684,0.6238815420001629
quadratic,F0,N2,adam,2,15000,0.01,28,0.13200979489427728,-0.09944179395690356,0.12243020297448813,0.625590875002672
quadratic,F0,N2,adam,3,15000,0.01,20,0.10748927388795215,-0.03127493736324717,0.1417637743404086,0.6457520000039949
quadratic,F0,N2,adam,4,15000,0.01,28,0.13391309567986395,-0.04332429853572804,0.15021324216908735,0.5772761249972973
quadratic,F0,N2,adamw,0,15000,0.01,41,0.11793549841042422,-0.15731860858004643,0.11923938805752433,0.6234157500002766
quadratic,F0,N2,adamw,1,15000,0.01,26,0.07374568787479467,-0.051617703633409506,0.10709641445279468,0.602282167004887
quadratic,F0,N2,adamw,2,15000,0.01,28,0.13200808293632796,-0.09944203608064603,0.1224294979187107,0.6561115410004277
quadratic,F0,N2,adamw,3,15000,0.01,20,0.1074877494578576,-0.03127525761773939,0.14176247454623336,0.6220119589997921
quadratic,F0,N2,adamw,4,15000,0.01,28,0.1339121179434723,-0.04332451979860692,0.1502123724286062,0.5807932500028983
quadratic,F0,N3,sgd,0,15000,0.01,46,0.010027174481776271,-0.17348239094699544,0.037143795114618204,0.2541807079978753
quadratic,F0,N3,sgd,1,15000,0.01,23,0.02974750416973135,-0.05862211010374124,0.06753610575187782,0.24324683300073957
quadratic,F0,N3,sgd,2,15000,0.01,35,0.00905868564348405,-0.11700631546382448,0.03923743199752961,0.2761845409986563
quadratic,F0,N3,sgd,3,15000,0.01,18,0.028379068094150403,-0.04829434083539686,0.0440321418806089,0.27772449999611126
quadratic,F0,N3,sgd,4,15000,0.01,25,0.055467372422279226,-0.05661023407279188,0.09209904335639708,0.26334350000252016
quadratic,F0,N3,adam,0,15000,0.01,31,0.04491642006598209,-0.16854122104231492,0.07360076008077529,0.37280908299726434
quadratic,F0,N3,adam,1,15000,0.01,12,0.13995945666366844,-0.04368197710903898,0.12636227541616082,0.3948957090033218
quadratic,F0,N3,adam,2,15000,0.01,9,0.07653626847905856,-0.11034791230890259,0.07342231552613405,0.37809474999812664
quadratic,F0,N3,adam,3,15000,0.01,13,0.16901086876967142,-0.030533302829651887,0.12180544169588063,0.3385138329977053
quadratic,F0,N3,adam,4,15000,0.01,7,0.22155372382112606,-0.01896264971082831,0.23139434740232462,0.39560954199987464
quadratic,F0,N3,adamw,0,15000,0.01,31,0.044916109962774294,-0.1685412284656049,0.07360085041234671,0.3408417499958887
quadratic,F0,N3,adamw,1,15000,0.01,12,0.13995725451194008,-0.04368238062230052,0.1263609236389682,0.37864704099774826
