task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
quadratic,F0,N1,sgd,0,2000,0.01,-1,0.20774186322691318,-0.14608577347772642,0.15324637726573487,0.09603798400348751
quadratic,F0,N1,sgd,1,2000,0.01,-1,0.10318619522517647,-0.045241852929296625,0.12860987516770409,0.09402050799690187
quadratic,F0,N1,sgd,2,2000,0.01,-1,0.3466444536700925,-0.0722540616210414,0.1946335233867934,0.09404208900377853
quadratic,F0,N1,sgd,3,2000,0.01,-1,0.14634216444255643,-0.03195957389676235,0.12834937132923557,0.09340573699591914
quadratic,F0,N1,sgd,4,2000,0.01,-1,0.18576027279365526,-0.043570346367613255,0.1287859433200866,0.19609018899791408
quadratic,F0,N1,adam,0,2000,0.01,-1,0.5854890209238325,-0.10648636076340867,0.22707709025374934,0.21595278099994175
quadratic,F0,N1,adam,1,2000,0.01,-1,0.3532124649671335,-0.013978251254651505,0.19686390310400234,0.21268776299984893
quadratic,F0,N1,adam,2,2000,0.01,-1,0.6881390341443072,-0.02620162897366865,0.277171372589354,0.2127105230028974
quadratic,F0,N1,adam,3,2000,0.01,-1,0.37737026961392467,-0.006302527877142666,0.17818240623088163,0.2187576979995356
quadratic,F0,N1,adam,4,2000,0.01,-1,0.344986723613555,-0.017286352029237867,0.1977483288823799,0.21239325199712766
quadratic,F0,N1,adamw,0,2000,0.01,-1,0.5854764671852243,-0.10648842323717206,0.22707301911319094,0.21559990999958245
quadratic,F0,N1,adamw,1,2000,0.01,-1,0.3532034037517305,-0.01398002196891926,0.19685926349563504,0.21142620900354814
quadratic,F0,N1,adamw,2,2000,0.01,-1,0.6881248666825599,-0.02620474622986671,0.277164227470737,0.11177932499413146
quadratic,F0,N1,adamw,3,2000,0.01,-1,0.3773613273678418,-0.006303872604083119,0.17817961143209124,0.11549721500341548
quadratic,F0,N1,adamw,4,2000,0.01,-1,0.3449752795128042,-0.017288865350128968,0.19773975291623383,0.11059199200099101
quadratic,F0,N2,sgd,0,2000,0.01,-1,0.4660203054980465,-0.1308298373563844,0.172899221492893,1.8953434110007947
